date	open	high	low	close	volume
 2013/01/04	717.3	718.39	699.17	705.34	10144828
 2013/01/07	704.37	718.12	702.39	718.12	10828472
 2013/01/08	718.43	735.34	716.3	733.14	13556817
 2013/01/09	732.01	740.64	727.91	734.51	13175455
 2013/01/10	734.31	743.55	734.31	741.18	11541677
 2013/01/11	740.9	746.04	730.4	731.59	13876465
 2013/01/14	735.65	761.73	735.18	760.55	14605320
 2013/01/15	763.63	781.42	763.63	778.6	17366908
 2013/01/16	777.04	779.93	762.04	774.49	13673648
 2013/01/17	773.79	775.82	767.49	768.31	10598854
 2013/01/18	771.31	787.5	771.31	787.39	10860702
 2013/01/21	788.07	793.23	783.42	792.6	10446622
 2013/01/22	792.31	792.55	769.09	775.14	11331764
 2013/01/23	773.74	779.56	765.36	778.48	9171227
 2013/01/24	778.64	784.32	750.36	757.87	11159146
 2013/01/25	757.61	766.78	756.61	762.85	7258003
 2013/01/28	764.09	784.76	764.09	784.76	8328960
 2013/01/29	785.76	795.07	785.76	791.67	9819117
 2013/01/30	791.96	792.77	778.3	783.68	9572741
 2013/01/31	784.11	784.11	771.15	776.01	9124011
 2013/02/01	775.11	785.52	772.94	782.36	8442919
 2013/02/04	783.74	786.56	767.85	771.9	9158984
 2013/02/05	768.41	781.57	765.97	780.98	7394332
 2013/02/06	781.32	794.5	781.32	791.26	7177630
 2013/02/07	792.86	806.31	789.37	805.59	7153997
 2013/02/08	804.96	824.31	804.96	823.03	8513248
 2013/02/18	829.66	835.66	825.95	835.28	10496588
 2013/02/19	834.97	835.41	816.96	819.71	9619500
 2013/02/20	819.03	850.86	819.03	850.86	10784608
 2013/02/21	846.64	853.27	829.6	839.3	12723522
 2013/02/22	837.13	848.16	836.87	838.76	9580222
 2013/02/25	838.88	857.85	838.88	855.69	10134053
 2013/02/26	853.28	865.8	849.94	851.22	11871814
 2013/02/27	852.13	856.12	835.94	846.09	10080143
 2013/02/28	846.34	861.1	844.2	861.1	10356164
 2013/03/01	860.8	885.18	859.83	884.89	13695510
 2013/03/04	880.25	888.79	855.05	863.5	13807495
 2013/03/05	861.23	888.32	857.54	888.1	10776581
 2013/03/06	890.23	905.16	890.23	902.9	13402306
 2013/03/07	902.41	902.41	867.87	877.34	12172461
 2013/03/08	877.73	882.14	861.81	864.7	8671512
 2013/03/11	863.12	872.18	858.04	869.15	6526881
 2013/03/12	869.72	873.47	828.04	839.84	10783893
 2013/03/13	835.46	836.28	821.35	834.05	7152213
 2013/03/14	832.29	845.6	831.57	842.04	6051635
 2013/03/15	841.71	867.87	839.58	853.91	7882427
 2013/03/18	852.15	862.82	850.1	852.12	6612163
 2013/03/19	850.06	854.25	829.19	842.69	6628980
 2013/03/20	842.71	866.27	842.58	866.27	7972105
 2013/03/21	867.9	885.98	866.68	882.73	9362198
 2013/03/22	881.9	884.24	876.92	882	7336864
 2013/03/25	882.75	884.85	874.01	881.76	6744977
 2013/03/26	878.56	879.85	862.67	876.36	7059627
 2013/03/27	876.55	885.77	874.25	882.75	6436412
 2013/03/28	877.85	877.85	861.65	867.51	7385805
 2013/03/29	868.09	872.78	860.96	866.46	5532532
 2013/04/01	866.65	879.92	865.98	877	5866251
 2013/04/02	875.33	883.15	843.21	845.16	7456575
 2013/04/03	842.36	845.49	827.27	835.14	6106939
 2013/04/08	824.78	853.62	817.35	853.48	6575442
 2013/04/09	854.51	864.12	853.94	861.99	5703842
 2013/04/10	861.27	861.91	843.1	850.53	5556804
 2013/04/11	853.14	855.96	847.39	847.78	4771678
 2013/04/12	847.2	854.22	845.85	846.61	4371018
 2013/04/15	844.11	845.75	834.01	836.34	3993101
 2013/04/16	828.94	846.05	824.84	846.05	4382004
 2013/04/17	845.09	867.51	844.92	867.51	5291209
 2013/04/18	862.7	876	860.72	873.48	6084981
 2013/04/19	874.88	895.87	874.88	892.21	8028408
 2013/04/22	890.93	916.02	889.26	916.02	8193787
 2013/04/23	916.42	916.54	892.11	893.79	8480976
 2013/04/24	894.69	925.01	894.69	923.41	8772878
 2013/04/25	924.22	937.56	903.61	903.63	10505929
 2013/04/26	902	904.3	886.4	889.38	7160700
 2013/05/02	887.08	914.17	883.79	913.65	5383285
 2013/05/03	916.01	940.28	916.01	939.21	7910952
 2013/05/06	941.09	962.63	941.09	958.02	10341541
 2013/05/07	956.42	964.71	949.84	957.44	9122569
 2013/05/08	960.98	980.08	960.7	980.08	10723616
 2013/05/09	978.94	994.27	978.07	992.16	13408967
 2013/05/10	989.15	996.59	977.43	988.3	12371031
 2013/05/13	989.37	995.25	978.72	995.11	10894688
 2013/05/14	992.62	992.62	971.35	976.33	10262555
 2013/05/15	976.95	1012.67	976.95	1012.66	11464506
 2013/05/16	1010.95	1034.35	999.49	1009.53	16214896
 2013/05/17	1006.47	1029.11	1004.42	1023.4	13263336
 2013/05/20	1025.17	1052.7	1025.17	1051.65	16894820
 2013/05/21	1049.6	1074.89	1045.46	1073.58	17795688
 2013/05/22	1067.44	1067.5	1036.31	1039.81	17050076
