date	open	high	low	close	volume
 2014/06/23	1335.18	1366.59	1335.18	1361.28	14514949
 2014/06/24	1360.08	1372.16	1359.13	1369.44	14517845
 2014/06/25	1368.66	1368.66	1347.82	1358.71	13895424
 2014/06/26	1360.2	1391.3	1360.2	1386.27	18635116
 2014/06/27	1388.38	1397.96	1382.07	1388.82	18283794
 2014/06/30	1388.47	1404.71	1374.3	1404.71	18787736
 2014/07/01	1405.44	1415.33	1398.15	1411.74	19457800
 2014/07/02	1413.17	1425.3	1402.22	1419.94	20532464
 2014/07/03	1419.81	1428.67	1412.16	1422.6	20417852
 2014/07/04	1421.68	1423.89	1406.21	1411.64	19215140
 2014/07/07	1411.99	1411.99	1381.94	1393.89	18228060
 2014/07/08	1392.35	1410.73	1379.49	1410.73	18990540
 2014/07/09	1410.39	1418.68	1384.26	1384.58	21751112
 2014/07/10	1384.45	1387.89	1362.35	1363.88	16514057
 2014/07/11	1361.57	1372.12	1351.77	1359.34	15365743
 2014/07/14	1358.17	1367.82	1342.56	1367.07	17042172
 2014/07/15	1364.08	1366.16	1332.87	1341.27	19208904
 2014/07/16	1338.92	1344.36	1310.86	1318.62	16034403
 2014/07/17	1315.09	1323.24	1304.58	1312.81	11842502
 2014/07/18	1309.96	1321.93	1300.76	1305.92	11155743
 2014/07/21	1304.72	1313.56	1287.24	1306.97	12051162
 2014/07/22	1306.32	1330.29	1305.03	1329.35	12251800
 2014/07/23	1330.14	1332.36	1287.64	1293.09	14436101
 2014/07/24	1291.49	1291.49	1255.69	1271.88	14051676
 2014/07/25	1271.43	1288.67	1270.37	1285.77	10526882
 2014/07/28	1289.1	1316.04	1286.66	1314.53	13836976
 2014/07/29	1315.75	1337.53	1310.84	1331.76	15257236
 2014/07/30	1330.19	1345.35	1329.07	1342.74	15005274
 2014/07/31	1342.73	1346.22	1334.26	1344.54	13773804
 2014/08/01	1339.98	1343.58	1324.19	1325.94	16091302
 2014/08/04	1325.01	1331.8	1324.26	1329.82	12393537
 2014/08/05	1330.32	1363.12	1321.2	1360.69	19490644
 2014/08/06	1357.53	1368.53	1353.95	1365.74	15491641
 2014/08/07	1365.18	1381.46	1361.33	1362.03	16000260
 2014/08/08	1368.06	1381.44	1368.06	1377.44	14450098
 2014/08/11	1379.47	1397.97	1379.47	1397.78	17239952
 2014/08/12	1398.15	1402.75	1393.11	1396.44	17256326
 2014/08/13	1396.26	1397.1	1370.08	1384.31	18046572
 2014/08/14	1384.72	1394.52	1378.95	1380.3	18617046
 2014/08/15	1382.87	1392.49	1377.93	1392.45	17949342
 2014/08/18	1394.64	1429	1394.64	1428.74	22445292
 2014/08/19	1436.42	1446.79	1427.06	1436.4	24187900
 2014/08/20	1438.29	1438.29	1421.92	1427.4	19028784
 2014/08/21	1428.63	1447.91	1421.24	1447.88	19577488
 2014/08/22	1450.1	1465.67	1446.04	1461.72	22099972
 2014/08/25	1461.21	1461.49	1439.86	1443.81	19962446
 2014/08/26	1440.7	1443.6	1406.34	1411.15	18360054
 2014/08/27	1411.76	1427.32	1411.76	1420.54	13789763
 2014/08/28	1423.34	1424.29	1398.56	1403.8	13699751
 2014/08/29	1400.84	1424.47	1400.83	1424.47	11562446
 2014/09/01	1428.37	1453.12	1427.93	1452.84	15490858
 2014/09/02	1457.51	1465.04	1452.71	1465.03	20826444
 2014/09/03	1468.09	1479.83	1461.23	1477.67	23968684
 2014/09/04	1478.33	1495.81	1472.89	1495.51	24424652
 2014/09/05	1497.99	1498.26	1482.04	1489.84	21209164
 2014/09/09	1492.45	1497.42	1479.06	1494.02	21566028
 2014/09/10	1491.41	1506.47	1484.71	1504.91	21773264
 2014/09/11	1506	1532.31	1502.39	1513.01	26218382
 2014/09/12	1512.4	1524.33	1506.88	1524.12	20829284
 2014/09/15	1522.57	1528.57	1517.3	1526.14	23470990
 2014/09/16	1527.07	1529.4	1471.61	1473.13	27119820
 2014/09/17	1473.52	1481.06	1456.5	1479.12	17503912
 2014/09/18	1477.31	1492.61	1474.65	1490.79	15765159
 2014/09/19	1492.1	1501.39	1486.28	1499.12	16834430
 2014/09/22	1496.96	1496.96	1480.18	1483.35	18443516
 2014/09/23	1485.51	1502.04	1483.04	1500.99	17264768
 2014/09/24	1501.04	1517.42	1497.89	1517.42	20795696
 2014/09/25	1520.1	1523.25	1505.65	1508.42	22699612
 2014/09/26	1506.31	1512.8	1502.5	1511.36	18315996
 2014/09/29	1515.38	1526.36	1515.38	1526.18	21163796
 2014/09/30	1527.26	1540.95	1527.26	1540.87	19584148
 2014/10/08	1543.59	1557.57	1537.01	1557.57	21221706
 2014/10/09	1562.1	1569.06	1541.67	1561.17	25641920
 2014/10/10	1559.93	1563.87	1546.22	1554.22	22691636
 2014/10/13	1548.18	1548.88	1527.7	1548.33	21551880
 2014/10/14	1546.67	1560.06	1532.44	1539.12	20848818
 2014/10/15	1539.35	1545.75	1527.19	1545.62	19598464
 2014/10/16	1539.86	1551.84	1526.54	1526.56	20861354
