date	open	high	low	close	volume
 2005/01/07	994.76	997.32	979.81	983.95	281185
 2005/01/14	983.76	1006.46	979.78	988.3	299969
 2005/01/21	979.11	984.27	943.43	982.6	431150
 2005/01/28	1001.85	1001.85	965.2	969.2	445792
 2005/02/04	965.78	1021.02	952.74	1016.85	639897
 2005/02/18	1023.32	1033.24	1005.63	1006.05	292393
 2005/02/25	1006.69	1059.48	1006.69	1046.76	793724
 2005/03/04	1046.2	1048.27	1014.75	1023.66	545347
 2005/03/11	1024.48	1054.64	1016.93	1027.42	623282
 2005/03/18	1027.17	1041.56	975.7	978.66	567171
 2005/03/25	977.29	983.17	948.53	962.95	459262
 2005/04/01	961.65	989.9	928.33	978.14	474035
 2005/04/08	968.49	1003.7	948.94	1003.45	707686
 2005/04/15	1003.88	1008.73	971.93	974.08	655883
 2005/04/22	970.91	970.91	934.96	939.1	472996
 2005/04/29	935.99	945.5	914.83	932.4	595202
 2005/05/13	934.65	937.39	875.58	887.54	495390
 2005/05/20	885.39	891.02	868.21	882.76	402511
 2005/05/27	880.28	880.28	848.4	849.51	380977
 2005/06/03	847.63	863.2	807.97	818.03	393662
 2005/06/10	816.73	925.36	807.78	894.56	1105172
 2005/06/17	895	905.41	861.83	880.34	674381
 2005/06/24	881.62	906.48	872.56	898.3	606728
 2005/07/01	904.21	920.65	858.37	859.49	587042
 2005/07/08	855.32	856.74	827.23	829.49	369145
 2005/07/15	837.86	856.09	818.86	841	510790
 2005/07/22	839.22	867.16	829.28	859.69	549152
 2005/07/29	858.33	901	854.28	888.16	880721
 2005/08/05	887.72	923.81	885.85	923.8	855299
 2005/08/12	926.57	959.27	919.11	938.32	1188992
 2005/08/19	937.71	959.34	910.08	923.04	1198482
 2005/08/26	923.11	935.23	915.03	928.26	791189
 2005/09/02	928.34	947.92	911.51	947.87	834446
 2005/09/09	949.08	959.9	932.65	949.07	973175
 2005/09/16	949.78	970.96	945.4	967.49	785663
 2005/09/23	967.44	971.99	914.23	916.15	815789
 2005/09/30	915.84	921.13	901.38	917.39	497128
 2005/10/14	917.21	926.09	902.81	904.83	480782
 2005/10/21	903.27	907.88	889.57	904.41	569250
 2005/10/28	905.13	908.45	859.69	867.73	564812
