date	open	high	close	low	volume	ma5
2005-01-04	994.769	994.769	982.794	980.658	741286894	987.2738
2005-01-05	981.577	997.323	992.564	979.877	711910898	990.142
2005-01-06	993.331	993.788	983.174	980.33	628802905	990.9788
2005-01-07	983.045	995.711	983.958	979.812	729869409	993.7194
2005-01-10	983.76	993.959	993.879	979.789	579169799	987.2738
2005-01-11	994.189	999.554	997.135	991.092	584907998	990.142
2005-01-12	996.651	996.976	996.748	989.257	501452509	990.9788
2005-01-13	996.078	999.473	996.877	992.695	604406584	993.7194
2005-01-14	996.617	1006.463	988.306	987.233	729784238	994.589
2005-01-17	979.111	981.525	967.452	965.078	728818876	989.3036
2005-01-18	967.374	974.872	974.689	960.293	731184782	984.8144
2005-01-19	974.333	974.333	967.21	965.258	633809119	978.9068
2005-01-20	963.213	963.213	956.245	952.23	772710670	970.7804
2005-01-21	954.462	984.274	982.604	943.439	1445005985	969.64
2005-01-24	1001.854	1001.854	998.133	986.239	1435946161	975.7762
2005-01-25	995.637	997.951	997.775	985.237	986252911	980.3934
2005-01-26	995.78	999.474	989.928	988.475	766329017	984.937
2005-01-27	987.342	987.702	974.631	973.771	694536497	988.6142
2005-01-28	974.631	975.624	969.209	965.209	574880738	985.9352
2005-01-31	965.785	965.785	954.879	953.142	678870643	977.2844
2005-02-01	953.33	965.477	955.951	952.741	743306676	968.9196
2005-02-02	956.701	1006.932	1006.913	956.701	1705733857	972.3166
2005-02-03	1005.563	1014.187	993.215	992.155	1697453933	976.0334
2005-02-04	992.25	1021.025	1016.858	989.939	1573621461	985.5632
2005-02-16	1023.324	1033.248	1023.584	1018.487	1213129305	999.3042
2005-02-17	1024.43	1024.43	1020.606	1010.476	896829766	1012.2352
2005-02-18	1020.122	1021.199	1006.055	1005.631	813993936	1012.0636
2005-02-21	1006.693	1025.656	1025.633	1006.693	988609416	1018.5472
2005-02-22	1026.837	1048.678	1046.744	1024.527	1793784231	1024.5244
2005-02-23	1046.812	1049.609	1043.944	1036.625	1869692971	1028.5964
2005-02-24	1042.253	1045.958	1045.46	1034.731	1468178853	1033.5672
2005-02-25	1046.274	1059.483	1046.761	1045.982	1817000338	1041.7084
2005-02-28	1046.206	1048.278	1039.989	1035.039	1297104604	1044.5796
2005-03-01	1039.351	1042.737	1035.934	1031.168	996209016	1042.4176
2005-03-02	1036.368	1045.76	1021.32	1021.004	1422513553	1037.8928
2005-03-03	1019.876	1028.402	1027.71	1014.752	920308564	1034.3428
2005-03-04	1027.927	1031.847	1023.667	1022.176	817364167	1029.724
2005-03-07	1024.48	1031.344	1029.871	1024.48	793294979	1027.7004
2005-03-08	1033.786	1049.287	1048.987	1032.85	1429579380	1030.311
2005-03-09	1051.26	1054.64	1046.544	1041.982	1532748839	1035.3558
2005-03-10	1046.692	1046.692	1022.413	1019.634	1329595333	1034.2964
2005-03-11	1021.084	1028.119	1027.429	1016.931	1147638146	1035.0488
2005-03-14	1027.175	1041.573	1031.026	1014.925	1446608937	1035.2798
2005-03-15	1030.857	1030.943	1013.523	1011.641	1200749274	1028.187
2005-03-16	1011.85	1012.198	1003.065	995.967	1062278283	1019.4912
2005-03-17	1001.968	1004.821	992.863	992.124	996901108	1013.5812
2005-03-18	991.887	996.396	978.665	975.705	965205964	1003.8284
2005-03-21	977.296	983.178	981.893	973.001	725256485	994.0018
2005-03-22	981.707	982.138	964.024	959.563	1137571722	984.102
2005-03-23	962.816	975.362	959.01	955.993	1093005354	975.291
2005-03-24	957.43	965.06	964.801	948.53	926071493	969.6786
2005-03-25	964.245	966.97	962.955	959.057	710732285	966.5366
2005-03-28	961.652	961.652	960.696	948.806	666924600	962.2972
2005-03-29	960.419	968.119	955.19	954.744	757737892	960.5304
2005-03-30	952.713	952.713	937.034	936.375	895016409	956.1352
2005-03-31	934.848	942.365	942.203	928.335	785944597	951.6156
2005-04-01	941.431	989.902	978.145	937.55	1634750474	954.6536
2005-04-04	968.49	974.064	962.168	956.128	1143509329	954.948
2005-04-05	960.54	967.746	955.598	953.586	953453690	955.0296
2005-04-06	955.598	977.855	973.668	948.948	1428242115	962.3564
2005-04-07	975.97	1000.266	984.733	974.309	2075421198	970.8624
2005-04-08	984.665	1003.699	1003.445	979.529	1476252600	975.9224
2005-04-11	1003.879	1008.735	995.421	992.773	1593606600	982.573
2005-04-12	993.711	993.711	978.697	978.204	1022619300	987.1928
2005-04-13	987.95	1006.499	1000.9	987.95	1607168700	992.6392
2005-04-14	1004.64	1006.416	986.975	985.578	1294571000	993.0876
2005-04-15	982.613	982.613	974.082	971.93	1040895500	987.215
2005-04-18	970.907	970.907	963.772	958.649	859840000	980.8852
2005-04-19	962.916	968.867	965.886	957.91	921262300	978.323
2005-04-20	964.151	964.151	950.867	946.197	885070500	968.3164
2005-04-21	948.861	955.553	943.981	938.595	994614500	959.7176
2005-04-22	942.908	947.909	939.101	934.957	1069188400	952.7214
2005-04-25	935.993	935.993	930.07	920.162	1147047800	945.981
2005-04-26	928.428	939.696	937.083	924.655	1169047100	940.2204
2005-04-27	938.57	938.91	926.604	925.896	1078061100	935.3678
2005-04-28	923.529	945.504	942.073	914.829	1434348600	934.9862
2005-04-29	940.806	942.453	932.395	929.81	1123541900	933.645
2005-05-09	934.65	937.39	909.174	909.174	852911500	929.4658
2005-05-10	905.543	913.388	913.076	892.313	1049433100	924.6644
2005-05-11	911.838	917.223	901.851	900.438	904204700	919.7138
2005-05-12	899.968	900.063	885.82	883.511	1022872000	908.4632
2005-05-13	883.505	898.505	887.543	875.576	1124490600	899.4928
2005-05-16	885.389	885.389	875.271	869.334	822428800	892.7122
2005-05-17	873.077	888.281	881.462	868.212	877227300	886.3894
2005-05-18	881.141	890.403	883.196	871.821	787861000	882.6584
2005-05-19	882.842	888.016	884.171	871.289	814958300	882.3286
2005-05-20	883.513	891.02	882.763	879.18	722667600	881.3726
2005-05-23	880.281	880.281	863.341	862.098	727979500	878.9866
2005-05-24	861.195	871.767	868.456	855.587	920692900	876.3854
2005-05-25	867.658	876.305	868.451	861.659	723855600	873.4364
2005-05-26	867.758	872.835	857.331	854.956	662278600	868.0684
2005-05-27	855.595	864.963	849.508	848.398	774998300	861.4174
2005-05-30	847.634	858.462	855.612	842.102	697158300	859.8716
2005-05-31	856.561	863.198	855.946	853.291	704782100	857.3696
2005-06-01	855.206	857.657	837.532	836.04	790230200	851.1858
2005-06-02	835.467	835.493	818.379	812.989	950865700	843.3954
2005-06-03	816.546	823.86	818.033	807.965	793605600	837.1004
2005-06-06	816.731	839.15	838.997	807.784	900918500	833.7774
2005-06-07	841.579	858.092	837.282	835.179	1306706800	830.0446
2005-06-08	848.536	908.829	905.773	844.473	3290783900	843.6928
2005-06-09	907.569	925.365	912.604	895.036	3314184000	862.5378
2005-06-10	911.941	911.941	894.556	889.103	2239150200	877.8424
2005-06-13	894.997	900.18	892.959	877.69	1562800200	888.6348
2005-06-14	895.391	905.415	883.537	882.862	1434357000	897.8858
2005-06-15	881.208	881.248	866.834	865.136	1145405600	890.098
2005-06-16	866.659	879.493	879.237	861.827	1104968500	883.4246
2005-06-17	883.605	888.078	880.345	876.038	1496300900	880.5824
2005-06-20	881.623	906.482	906.255	872.563	1899208200	883.2416
2005-06-21	906.306	906.306	896.166	894.386	1277478400	885.7674
2005-06-22	894.769	901.243	900.646	891.926	1047813400	892.5298
2005-06-23	900.059	904.896	893.572	892.831	950930800	895.3968
2005-06-24	892.061	898.67	898.301	888.397	891873900	898.988
2005-06-27	904.209	920.647	916.043	904.209	1654540200	900.9456
2005-06-28	913.48	913.48	903.716	901.207	1040221900	902.4556
2005-06-29	906.751	907.571	898.898	898.084	1080674600	902.106
2005-06-30	897.102	897.102	878.686	876.884	1085547200	899.1288
2005-07-01	875.935	875.935	859.494	858.37	1009459700	891.3674
2005-07-04	855.317	856.1	855.932	842.812	884027700	879.3452
2005-07-05	853.679	856.738	849.679	845.361	799268800	868.5378
2005-07-06	850.253	854.448	842.556	838.609	689831400	857.2694
2005-07-07	841.748	848.022	844.729	839.282	596246500	850.478
2005-07-08	842.62	842.62	829.489	827.229	722100000	844.477
2005-07-11	837.863	850.658	824.097	822.524	843900600	838.11
2005-07-12	821.911	854.286	851.816	818.863	1498987100	838.5374
2005-07-13	850.469	851.949	846.231	841.858	939884200	839.2724
2005-07-14	844.94	856.095	849.59	843.176	936196800	840.2446
2005-07-15	849.873	854.604	841.001	837.783	888956300	842.547
2005-07-18	839.221	840.005	832.995	829.679	850000600	844.3266
2005-07-19	831.501	840.143	835.608	829.277	789181800	841.085
2005-07-20	835.301	844.712	842.641	832.144	852647300	840.367
2005-07-21	842.746	843.987	843.987	835.757	836610100	839.2464
2005-07-22	847.541	867.165	859.693	842.987	2163097600	842.9848
2005-07-25	858.328	860.951	856.86	854.284	1181608000	847.7578
2005-07-26	856.189	880.034	876.48	856.189	2182677600	855.9322
2005-07-27	876.942	894.026	894.012	876.036	2040953700	866.2064
2005-07-28	893.879	900.997	890.885	888.5	2062252700	875.586
2005-07-29	889.41	892.294	888.164	883.383	1339740600	881.2802
2005-08-01	887.718	897.285	891.607	885.85	1180830900	888.2296
2005-08-02	892.13	903.648	903.598	888.396	1429254700	893.6532
2005-08-03	905.181	919.282	909.57	903.76	2578629800	896.7648
2005-08-04	907.42	909.827	904.15	901.625	1451925600	899.4178
2005-08-05	904.039	923.808	923.803	903.94	1912376500	906.5456
2005-08-08	926.571	933.154	927.471	923.573	2160894400	913.7184
2005-08-09	926.973	933.394	933.089	919.107	1953290700	919.6166
2005-08-10	933.26	940.37	940.37	926.275	2151576300	925.7766
2005-08-11	940.785	953.992	953.992	939.386	2707366600	935.745
2005-08-12	954.719	959.268	938.316	933.985	2916814400	938.6476
2005-08-15	937.705	954.502	954.502	936.113	2043081300	944.0538
2005-08-16	955.27	959.343	945.058	939.916	2386181800	946.4476
2005-08-17	943.405	953.342	953.012	930.325	2145776900	948.976
2005-08-18	954.155	956.841	920.671	919.121	3185532700	942.3118
2005-08-19	918.091	927.32	923.038	910.083	2224267900	939.2562
2005-08-22	923.108	933.351	931.673	919.222	1603101000	934.6904
2005-08-23	931.809	931.809	923.414	915.033	1540648800	930.3616
2005-08-24	923.558	935.23	930.651	923.558	1595974700	925.8894
2005-08-25	930.975	933.196	930.118	920.61	1629205700	927.7788
2005-08-26	930.246	930.325	928.258	921.843	1542980400	928.8228
2005-08-29	928.341	928.341	917.371	913.767	1546226100	925.9624
2005-08-30	916.086	920.208	914.88	912.838	1243817000	924.2556
2005-08-31	915.122	928.212	927.916	911.505	1462363000	923.7086
2005-09-01	928.52	944.947	944.559	926.06	2230638400	926.5968
2005-09-02	945.978	947.918	947.871	941.314	1861443800	930.5194
2005-09-05	949.077	952.985	952.717	944.629	1784331800	937.5886
2005-09-06	953.41	956.297	936.61	934.972	2122225500	941.9346
2005-09-07	934.991	952.896	952.758	932.648	1960846600	946.903
2005-09-08	954.273	958.867	955.282	947.707	2242439300	949.0476
2005-09-09	955.112	959.898	949.065	946.021	1621931000	949.2864
2005-09-12	949.779	952.551	949.506	945.403	1167261300	948.6442
2005-09-13	949.584	963.921	963.774	948.128	1657943100	954.077
2005-09-14	964.97	970.263	970.193	961.64	1995829100	957.564
