date	open	high	close	low	volume	ma5
2016-01-21	17.22	17.46	16.58	16.5	34197115.0	17.372
2016-01-20	17.61	17.7	17.25	17.08	35968636.0	17.64
2016-01-19	17.78	17.88	17.77	17.5	29807159.0	17.668
2016-01-18	17.43	17.99	17.68	17.32	32729006.0	17.604
2016-01-15	17.8	18.15	17.58	17.52	46723139.0	17.478
2016-01-14	17.0	17.99	17.92	16.89	54838833.0	17.46
2016-01-13	17.57	17.9	17.39	17.35	47869312.0	17.378
2016-01-12	17.17	17.52	17.45	17.08	55374454.0	17.52
2016-01-11	17.21	17.45	17.05	16.96	90177135.0	17.622
2016-01-08	17.74	17.88	17.49	16.91	71918296.0	17.772
2016-01-07	17.8	17.9	17.51	17.4	11350479.0	17.378
2016-01-06	17.9	18.14	18.1	17.69	46772653.0	17.52
2016-01-05	17.51	18.06	17.96	17.4	58054793.0	17.622
2016-01-04	18.28	18.28	17.8	17.55	42240610.0	17.772
2015-12-31	18.52	18.52	18.27	18.26	27936138.0	18.72
2015-12-30	18.71	18.78	18.57	18.31	35687385.0	18.874
2015-12-29	18.63	18.92	18.74	18.39	47288465.0	18.936
2015-12-28	19.37	19.43	18.7	18.62	49980698.0	18.968
2015-12-25	19.02	19.48	19.32	18.93	55427897.0	19.056
2015-12-24	18.85	19.14	19.04	18.67	57171552.0	18.954
2015-12-23	18.91	19.13	18.88	18.61	66128172.0	18.844
2015-12-22	19.01	19.29	18.9	18.77	53122744.0	18.704
2015-12-21	18.79	19.4	19.14	18.54	82490080.0	18.586
2015-12-18	18.49	19.8	18.81	18.43	92211920.0	18.448
2015-12-17	18.26	18.61	18.49	18.2	53304072.0	18.406
2015-12-16	18.36	18.45	18.18	18.11	38700640.0	18.562
2015-12-15	18.44	18.82	18.31	18.17	51685772.0	18.772
2015-12-14	18.31	18.63	18.45	18.03	70736960.0	19.13
2015-12-11	19.01	19.22	18.6	18.43	87066824.0	19.33
2015-12-10	19.34	19.88	19.27	19.11	57091312.0	19.352
2015-12-09	19.58	19.58	19.23	19.11	92049465.0	19.348
2015-12-08	19.28	20.12	20.1	18.81	239884944.0	19.472
2015-12-07	18.71	19.5	19.45	18.71	83346816.0	19.188
2015-12-04	19.27	19.27	18.71	18.69	70275848.0	19.028
2015-12-03	19.7	19.77	19.25	19.22	110346329.0	18.992
2015-12-02	18.51	20.0	19.85	18.48	153608080.0	19.016
2015-12-01	18.35	19.0	18.68	18.08	63430576.0	18.98
2015-11-30	18.44	18.81	18.65	17.6	97633824.0	19.054
2015-11-27	19.16	19.42	18.53	18.4	105608736.0	19.136
2015-11-26	19.5	19.7	19.37	19.2	214944240.0	19.124
2015-11-25	18.9	19.68	19.67	18.44	326524768.0	18.83
2015-11-24	18.9	19.12	19.05	18.59	129389144.0	18.374
2015-11-23	18.51	19.13	19.06	18.44	171203792.0	18.052
2015-11-20	17.81	18.63	18.47	17.78	148206208.0	17.724
2015-11-19	17.3	17.99	17.9	17.3	102543448.0	17.546
2015-11-18	17.47	17.68	17.39	17.24	57584576.0	17.438
2015-11-17	17.46	17.81	17.44	17.42	63539280.0	17.506
2015-11-16	17.34	17.58	17.42	17.2	45144664.0	17.692
2015-11-13	17.2	17.6	17.58	17.15	73433152.0	17.838
2015-11-12	17.8	17.83	17.36	17.15	77790160.0	17.898
2015-11-11	18.41	18.49	17.73	17.5	92130224.0	17.968
2015-11-10	18.0	18.69	18.37	17.82	140427136.0	17.79
2015-11-09	17.92	19.19	18.15	17.88	157820064.0	17.408
2015-11-06	17.52	18.18	17.88	17.51	127594224.0	17.06
2015-11-05	16.85	18.07	17.71	16.75	231799696.0	16.762
