date	open	high	low	close	volume
 2015/07/20	3948.42	4021.33	3927.12	3992.11	539106688
 2015/07/21	3939.9	4041.82	3912.8	4017.67	504288032
 2015/07/22	3996.43	4042.34	3960.86	4026.04	520732224
 2015/07/23	4022.27	4132.61	4019.04	4123.92	563585984
 2015/07/24	4124.75	4184.45	4044.83	4070.91	627424832
 2015/07/27	3985.57	4051.16	3720.44	3725.56	556003264
 2015/07/28	3573.14	3762.53	3537.36	3663	563330048
 2015/07/29	3689.82	3792.07	3612.06	3789.17	434352096
 2015/07/30	3773.79	3844.37	3685.96	3705.77	457943232
 2015/07/31	3655.67	3729.51	3620.17	3663.73	350955744
 2015/08/03	3614.99	3648.94	3549.5	3622.91	363968736
 2015/08/04	3621.86	3757.03	3601.29	3756.54	362901664
 2015/08/05	3745.65	3782.35	3676.39	3694.57	366422976
 2015/08/06	3625.5	3710.57	3614.74	3661.54	274074656
 2015/08/07	3692.61	3756.74	3686.3	3744.2	340757184
 2015/08/10	3786.03	3943.62	3775.85	3928.42	497304320
 2015/08/11	3928.81	3970.34	3891.18	3927.91	538923456
 2015/08/12	3881.23	3937.77	3871.14	3886.32	442688288
 2015/08/13	3869.91	3955.79	3838.16	3954.56	430073312
 2015/08/14	3976.41	4000.68	3939.83	3965.33	467988224
 2015/08/17	3947.84	3994.54	3907.4	3993.67	460432064
 2015/08/18	3999.13	4006.34	3743.39	3748.16	543770816
 2015/08/19	3646.8	3811.43	3558.38	3794.11	475396224
 2015/08/20	3754.57	3788.01	3663.61	3664.29	390063072
 2015/08/21	3609.96	3652.84	3490.54	3507.74	369920480
 2015/08/24	3373.48	3388.36	3191.88	3209.91	334671808
 2015/08/25	3004.13	3123.03	2947.94	2964.97	352325120
 2015/08/26	2980.79	3092.04	2850.71	2927.29	466699648
 2015/08/27	2978.03	3085.42	2906.49	3083.59	400308384
 2015/08/28	3125.26	3235.84	3102.95	3232.35	443136928
 2015/08/31	3203.56	3207.86	3109.16	3205.99	397431392
 2015/09/01	3157.83	3180.33	3053.74	3166.62	432432480
 2015/09/02	3027.68	3194.48	3019.09	3160.17	438170144
 2015/09/07	3149.38	3217.58	3066.3	3080.42	296468128
 2015/09/08	3054.44	3174.71	3011.12	3170.45	255415472
 2015/09/09	3182.55	3256.74	3165.7	3243.09	375327968
 2015/09/10	3190.55	3243.28	3178.9	3197.89	273261760
 2015/09/11	3189.48	3223.76	3163.45	3200.23	224557824
 2015/09/14	3221.17	3229.48	3049.23	3114.8	346631168
 2015/09/15	3043.8	3081.7	2983.92	3005.17	249194448
 2015/09/16	2998.04	3182.93	2983.54	3152.26	277524512
 2015/09/17	3131.98	3204.7	3085.31	3086.06	317602880
 2015/09/18	3100.28	3122.05	3070.34	3097.92	209175392
