open	high	low	close	volume
3397	3397	3386	3386	80
3388	3389	3388	3388	6
3388	3392	3388	3392	4
3398	3398	3394	3394	18
3410	3426	3392	3415	548
3415	3420	3400	3405	234
3406	3410	3398	3410	236
3411	3411	3394	3394	86
3394	3401	3394	3395	84
3398	3406	3398	3400	58
3401	3401	3394	3400	80
3398	3400	3397	3397	36
3396	3398	3395	3396	40
3400	3408	3400	3405	280
3402	3405	3401	3404	44
3403	3412	3403	3406	128
3406	3406	3400	3405	62
3404	3404	3393	3394	68
3397	3402	3390	3399	302
3391	3399	3370	3373	424
3373	3390	3373	3382	206
3387	3414	3387	3408	432
3408	3421	3408	3413	560
3419	3426	3412	3414	420
3419	3430	3413	3425	360
3427	3432	3400	3405	466
3406	3407	3400	3404	500
3407	3410	3399	3400	110
3404	3407	3400	3405	140
3402	3402	3395	3399	64
3399	3399	3390	3390	82
3396	3404	3396	3404	52
3401	3403	3401	3403	14
3401	3402	3401	3402	4
3400	3403	3400	3403	12
3409	3410	3407	3407	84
3406	3410	3406	3406	20
3406	3407	3403	3407	18
3406	3407	3406	3407	14
3407	3407	3407	3407	0
3407	3407	3400	3405	8
3398	3402	3389	3397	516
3397	3405	3394	3401	174
3400	3401	3395	3397	98
3397	3399	3393	3395	120
3395	3400	3394	3397	48
3398	3398	3398	3398	2
3399	3400	3396	3396	18
3396	3396	3390	3393	80
3394	3394	3386	3390	60
3391	3395	3391	3394	162
3396	3396	3393	3393	12
3391	3396	3391	3394	86
3395	3396	3394	3395	56
3394	3394	3382	3385	134
3386	3391	3386	3391	204
3380	3380	3364	3373	564
3376	3380	3373	3380	56
3379	3386	3375	3376	44
3374	3376	3370	3370	48
3369	3373	3368	3372	40
3373	3378	3373	3378	24
3378	3380	3375	3375	20
3375	3385	3375	3385	36
3382	3383	3379	3382	28
3381	3388	3379	3388	14
3388	3394	3386	3392	88
3399	3403	3393	3403	140
3401	3405	3398	3398	70
3395	3401	3395	3398	42
3398	3398	3397	3398	14
3398	3402	3398	3402	16
3398	3398	3397	3397	8
3397	3399	3397	3399	2
3395	3395	3395	3395	2
3395	3395	3395	3395	0
3395	3395	3395	3395	0
3395	3404	3395	3404	4
3412	3418	3408	3418	154
3418	3422	3413	3413	152
3413	3415	3402	3406	42
3406	3407	3405	3405	60
3405	3409	3405	3408	72
3405	3409	3403	3409	60
3407	3407	3405	3407	116
3407	3408	3407	3408	22
3408	3412	3406	3410	24
3409	3411	3404	3405	80
3408	3409	3405	3408	90
3408	3410	3408	3410	62
3406	3407	3406	3407	10
3405	3405	3401	3403	154
3403	3405	3392	3393	108
3402	3421	3396	3412	342
3417	3421	3405	3409	90
3406	3410	3401	3402	348
3401	3405	3396	3396	118
3402	3403	3391	3397	92
3393	3399	3390	3391	78
