open	high	low	close	volume
3308	3311	3303	3306	2234
3306	3333	3306	3333	16682
3333	3343	3329	3341	15090
3343	3343	3333	3338	11756
3338	3339	3333	3337	7262
3337	3339	3334	3336	5122
3337	3337	3332	3333	4978
3333	3333	3329	3331	3526
3331	3333	3330	3333	1642
3332	3334	3331	3333	1586
3335	3339	3334	3336	5590
3336	3344	3335	3342	5542
3342	3345	3336	3338	5500
3339	3344	3336	3340	6314
3340	3344	3339	3343	2742
3342	3346	3339	3340	7394
3338	3340	3330	3330	6346
3330	3331	3325	3328	9642
3328	3331	3324	3325	4248
3325	3328	3323	3324	3760
3324	3324	3318	3318	7140
3318	3320	3313	3318	6458
3318	3319	3314	3318	3706
3318	3319	3311	3312	4638
3312	3316	3311	3314	3050
3314	3316	3312	3313	1860
3313	3317	3312	3317	2276
3317	3317	3311	3312	1986
3312	3315	3311	3314	1464
3313	3318	3313	3314	1600
3315	3316	3314	3315	450
3315	3316	3314	3314	320
3314	3318	3311	3314	3272
3314	3316	3314	3315	524
3315	3316	3314	3315	196
3315	3316	3314	3315	248
3316	3317	3314	3314	532
3314	3316	3314	3315	722
3315	3317	3303	3307	11148
3307	3311	3306	3310	7148
3309	3312	3308	3308	4048
3308	3313	3307	3311	5652
3310	3314	3309	3310	6066
3311	3313	3309	3310	3808
3309	3311	3304	3305	5972
3305	3307	3304	3306	4776
3307	3309	3295	3298	13728
3296	3298	3265	3278	38944
3278	3287	3278	3279	19120
3278	3284	3277	3282	7382
3282	3285	3277	3277	6470
3278	3281	3272	3274	8316
3273	3281	3262	3280	22646
3281	3298	3279	3297	17058
3297	3302	3292	3296	13968
3296	3296	3282	3293	9742
3292	3292	3285	3288	3572
3287	3288	3284	3286	3114
3286	3293	3286	3289	3198
3289	3290	3286	3287	2158
3286	3288	3281	3285	4032
3285	3286	3279	3280	3706
3279	3282	3275	3282	5618
3281	3283	3279	3282	2074
3282	3283	3278	3279	1116
3279	3281	3277	3278	1308
3277	3280	3276	3277	1592
3277	3280	3274	3274	2786
3274	3278	3265	3267	9604
3268	3275	3266	3274	2218
3274	3285	3272	3281	3458
3281	3287	3280	3286	2132
3285	3293	3284	3288	3864
3287	3289	3285	3286	954
3286	3286	3279	3282	2792
3274	3275	3267	3271	11768
3270	3273	3266	3269	5998
3268	3270	3266	3267	5820
3268	3269	3266	3268	5816
3267	3272	3264	3269	6844
3269	3270	3266	3268	2720
3268	3271	3266	3267	3566
3267	3268	3264	3266	5260
3266	3268	3263	3268	4212
3270	3278	3268	3277	13798
3277	3281	3273	3276	5594
3276	3286	3275	3286	6674
3286	3286	3280	3283	5540
3284	3284	3280	3281	3870
3281	3286	3281	3286	7520
3278	3278	3266	3273	14056
3273	3273	3262	3262	17768
3261	3269	3252	3264	24280
3264	3268	3263	3266	4454
3266	3268	3265	3266	3224
3266	3276	3264	3270	9426
3271	3273	3267	3269	3458
3268	3277	3268	3273	9766
3272	3273	3266	3267	4522
3268	3269	3265	3266	4346
3266	3269	3265	3268	3696
3268	3269	3264	3266	1766
3265	3268	3265	3267	1464
3268	3268	3264	3265	1356
3264	3265	3260	3261	4248
3261	3262	3254	3254	8622
3254	3257	3251	3253	5812
3253	3259	3253	3256	3362
3256	3261	3256	3260	4180
3261	3261	3257	3258	1076
3259	3269	3258	3262	3566
3263	3269	3261	3266	2328
3275	3290	3271	3289	26530
3288	3294	3288	3288	14450
3289	3294	3287	3291	8308
3290	3292	3287	3288	3514
3288	3291	3286	3287	4276
3290	3292	3288	3288	5088
3289	3291	3281	3282	6520
3282	3287	3281	3286	5008
3286	3288	3285	3287	6042
3285	3291	3282	3288	8044
3289	3291	3287	3288	3816
3289	3294	3288	3290	9810
3290	3293	3290	3291	4990
3291	3293	3288	3289	5576
3289	3291	3287	3288	8582
3273	3279	3268	3270	17216
3270	3271	3260	3268	21046
3268	3276	3266	3272	14482
3272	3273	3270	3273	3860
3273	3279	3271	3276	6738
3276	3286	3273	3284	18154
3283	3310	3283	3305	45590
3304	3308	3295	3297	26566
3298	3303	3297	3297	11484
3297	3304	3295	3300	9996
3299	3301	3296	3300	6064
3300	3301	3298	3301	3562
3301	3301	3299	3299	2340
3299	3306	3298	3304	7928
3303	3308	3301	3308	6418
3307	3310	3301	3307	8502
3306	3307	3300	3301	4006
3301	3303	3293	3296	4812
3296	3296	3290	3295	4518
3295	3295	3292	3293	1088
3293	3293	3290	3292	1800
3291	3295	3290	3294	3108
3295	3301	3292	3296	12670
3296	3297	3291	3292	7948
3292	3294	3289	3289	6158
3289	3295	3289	3294	4898
3294	3298	3293	3296	4458
3296	3300	3295	3296	7172
3297	3303	3296	3300	5054
3301	3302	3294	3295	4536
3295	3302	3294	3299	5452
3295	3298	3291	3296	7820
3297	3302	3296	3300	4920
3300	3306	3300	3304	10120
3304	3304	3299	3299	5670
3299	3300	3297	3298	4788
3298	3301	3296	3296	7144
3300	3309	3294	3305	22550
3305	3309	3296	3296	14120
3296	3302	3295	3300	7744
3300	3300	3292	3296	8740
3295	3302	3293	3300	7860
3301	3301	3295	3295	5902
3295	3300	3294	3300	5290
3299	3300	3294	3296	5228
3296	3300	3285	3286	20132
3285	3288	3282	3285	17884
3284	3286	3279	3281	17704
3281	3283	3272	3272	18820
3272	3280	3270	3280	14914
3279	3283	3279	3279	8620
3279	3281	3274	3274	8090
3274	3279	3272	3274	5860
3273	3275	3265	3270	18230
3270	3274	3267	3274	5056
3274	3275	3270	3274	5708
3274	3278	3272	3277	4918
3277	3278	3273	3274	2952
3274	3276	3271	3275	5084
3269	3274	3258	3269	49230
3270	3270	3265	3269	10088
3269	3270	3257	3258	21914
3255	3259	3235	3235	65870
3235	3236	3218	3235	47668
3233	3234	3222	3229	20460
3229	3231	3226	3227	7982
3227	3235	3225	3234	12628
3234	3239	3232	3232	11264
3232	3232	3223	3226	25248
3226	3229	3189	3189	62006
3189	3194	3170	3190	59196
3190	3195	3185	3186	19640
3186	3187	3175	3185	27392
3184	3246	3181	3220	88634
3209	3221	3200	3210	42434
3210	3214	3191	3192	29484
3192	3200	3185	3191	34324
3191	3201	3191	3201	15374
3201	3228	3200	3214	66216
3214	3215	3207	3209	15118
3208	3220	3205	3212	22518
3213	3235	3212	3221	40486
3221	3223	3210	3214	20378
3214	3222	3214	3220	12526
3220	3222	3213	3216	12276
3216	3217	3213	3214	4432
3213	3217	3213	3215	3970
3215	3216	3210	3212	3538
3212	3215	3211	3214	3114
3214	3218	3214	3217	3068
3216	3221	3215	3219	5878
3219	3220	3215	3218	3300
3218	3218	3216	3218	1352
3218	3218	3215	3216	1612
3216	3217	3213	3213	1820
3213	3214	3207	3210	6038
3217	3226	3216	3217	25058
3217	3223	3217	3222	12154
3222	3222	3218	3221	6612
3222	3225	3213	3214	13454
3214	3217	3212	3213	8434
3214	3217	3200	3201	23674
3201	3205	3191	3195	43144
3195	3201	3190	3194	26270
3194	3203	3194	3201	18732
3202	3224	3202	3219	50744
3220	3223	3211	3214	20476
3214	3218	3211	3218	8788
3218	3219	3213	3216	11340
3216	3225	3215	3222	26830
3223	3230	3218	3223	34622
3231	3246	3229	3240	65052
3240	3241	3227	3227	27940
3227	3234	3218	3228	36244
3227	3233	3226	3229	16426
3230	3237	3224	3235	17654
3235	3242	3234	3235	18466
3236	3252	3235	3244	45962
3244	3247	3238	3240	18214
3239	3244	3232	3235	20020
3235	3236	3228	3232	17450
3232	3238	3231	3234	11228
3234	3239	3232	3234	7734
3233	3237	3231	3235	7280
3235	3241	3235	3241	6458
3240	3250	3240	3242	18852
3243	3252	3242	3246	14726
3246	3266	3243	3264	52304
3264	3265	3257	3262	15896
3262	3262	3255	3257	8372
3257	3260	3254	3257	7130
3257	3258	3254	3257	5280
3258	3259	3248	3254	12284
3268	3271	3255	3258	50600
3258	3261	3256	3259	15376
3259	3261	3255	3259	8974
3260	3264	3255	3255	15210
3256	3261	3255	3261	10788
3261	3267	3260	3263	22032
3263	3268	3262	3266	10684
3267	3271	3258	3258	18760
3258	3260	3251	3254	23966
3259	3265	3255	3264	17356
3264	3265	3254	3254	12050
3255	3257	3252	3255	13710
3255	3257	3244	3254	24846
3255	3256	3251	3253	8760
3253	3254	3245	3248	18052
3234	3237	3224	3233	51666
3233	3240	3230	3235	20264
3235	3237	3217	3222	50406
3222	3230	3219	3229	20818
3229	3231	3227	3228	12528
3228	3230	3225	3227	6498
3227	3229	3223	3226	10982
3226	3230	3224	3226	8578
3226	3228	3221	3225	22590
3226	3230	3222	3228	8920
3227	3235	3225	3233	15122
3233	3239	3233	3237	20238
3237	3242	3236	3237	12960
3237	3240	3234	3237	5620
3237	3240	3235	3239	3486
3239	3241	3236	3238	5246
3237	3242	3236	3240	6306
3240	3248	3238	3243	10278
3243	3244	3239	3241	3160
3240	3241	3234	3238	4654
3238	3242	3237	3240	3018
3239	3243	3237	3242	4760
3241	3242	3236	3240	18658
3240	3243	3237	3243	14234
3242	3261	3239	3256	43688
3257	3258	3247	3253	22160
3253	3255	3245	3247	13670
3247	3249	3243	3243	9848
