open	high	low	close	volume
235.65	235.65	235.65	235.65	0
235.15	235.15	234.9	234.9	12
235.15	235.15	235.15	235.15	2
235.15	235.15	235.15	235.15	0
235.15	235.15	235.15	235.15	0
235.1	235.25	234.85	234.85	20
234.95	235.15	234.9	235	112
235	235.05	234.65	234.75	708
234.75	234.75	234.2	234.6	334
234.65	234.7	234.6	234.6	30
234.65	234.75	234.65	234.75	24
234.85	234.95	234.4	234.5	76
234.5	234.55	234.45	234.45	310
234.45	234.55	234.3	234.45	134
234.45	234.7	234.25	234.3	584
234.3	234.3	234.1	234.2	138
234.2	234.3	234.1	234.2	134
234.2	234.3	234.1	234.15	824
234.2	234.4	234.15	234.3	134
234.3	234.45	234.3	234.4	330
234.4	234.45	234.1	234.15	108
233.55	233.8	233.5	233.75	96
233.95	234.15	233.85	233.95	64
233.9	234.45	233.9	234.45	16
234.5	234.6	234.2	234.2	36
234.15	234.5	234.15	234.3	18
234.25	234.45	234.25	234.45	10
234.3	234.3	234.15	234.3	12
234.3	234.3	234.2	234.2	8
234.2	234.35	234.2	234.35	22
234.3	234.3	234.25	234.25	6
234.25	234.25	233.9	233.9	10
233.9	233.9	233.9	233.9	2
233.95	234.15	233.95	234.15	12
234	234.1	234	234	14
234	234.25	234	234.25	2
234.1	234.1	234.05	234.1	24
234.1	234.15	234	234.15	16
234.2	234.2	234.15	234.2	20
234.3	234.3	234.25	234.3	6
234.3	234.6	234.05	234.6	160
234.95	236.6	234.4	236.35	360
236.45	236.45	235.7	235.7	62
236.3	236.55	235.8	236	744
235.95	236.3	235.65	236.2	938
236.2	236.3	235.8	235.9	1322
235.9	235.9	235.7	235.8	114
235.75	235.75	235.55	235.55	46
235.5	235.5	235.2	235.45	180
235.5	235.5	235.3	235.3	176
235.35	235.45	235.35	235.35	16
235.35	235.45	235.35	235.45	34
235.35	235.55	235.2	235.55	644
235.5	235.65	235.5	235.55	34
235.65	235.7	235.55	235.55	128
235.55	235.55	235.1	235.25	290
235.3	235.3	234.95	235.05	222
235.05	235.3	235.05	235.15	170
237.5	242	237	237.4	410
237.5	237.65	237.3	237.35	124
237.35	237.4	237.15	237.2	88
237.35	237.8	237.2	237.5	90
237.6	237.65	237.2	237.25	174
237.35	237.6	236.8	236.8	50
236.8	237.05	236.8	237.05	20
236.95	237	236.65	236.75	12
236.85	236.85	236.5	236.75	26
236.75	236.95	236.75	236.8	24
236.7	236.85	236.7	236.8	22
236.7	236.8	236.7	236.8	8
236.8	237	236.8	236.95	8
236.9	236.9	236.6	236.6	88
236.75	236.75	236.75	236.75	2
236.75	236.85	236.75	236.85	2
236.85	236.85	236.85	236.85	0
236.85	236.85	236.8	236.8	2
236.8	236.8	236.8	236.8	0
236.8	236.8	236.8	236.8	0
236.8	236.8	236.8	236.8	0
236.55	237.1	236.45	236.55	32
236.55	237.05	236.55	236.95	206
236.95	237	236.85	237	138
237	237	236.85	236.85	70
236.8	236.85	236.8	236.85	6
236.95	236.95	236.85	236.85	36
236.85	237	236.85	236.9	48
236.95	237	236.95	236.95	6
236.95	237.1	236.95	237	54
237	237.05	237	237.05	2
237	237.05	237	237.05	36
237.15	237.55	237.15	237.45	156
237.45	237.55	237.35	237.55	172
237.5	237.5	237.4	237.45	22
237.4	237.5	237.35	237.45	74
237.4	237.7	237.4	237.7	84
236.45	236.75	236.4	236.75	182
236.75	236.75	236.3	236.35	110
236.45	236.5	236.4	236.4	60
236.4	236.75	236.4	236.75	50
236.75	236.75	236.6	236.65	36
236.65	236.75	236.6	236.75	32
236.55	236.55	236.35	236.35	24
236.35	236.6	236.35	236.45	20
236.3	236.45	236.3	236.4	10
236.4	236.45	236.4	236.45	2
236.5	236.5	236.5	236.5	6
236.5	236.55	236.5	236.55	6
236.55	236.75	236.55	236.75	10
236.75	236.75	236.55	236.75	6
236.7	236.7	236.65	236.65	4
236.65	236.7	236.65	236.7	2
236.8	236.8	236.8	236.8	2
236.4	236.6	236.4	236.6	4
236.6	236.6	236.55	236.55	2
236.55	236.55	236.55	236.55	0
236.55	236.55	236.55	236.55	0
236.55	236.55	236.55	236.55	0
236.6	236.6	236.55	236.6	28
236.55	236.6	236.55	236.6	14
236.6	236.75	236.6	236.75	14
236.75	236.95	236.7	236.95	70
236.95	237.05	236.95	237	38
236.9	236.95	236.85	236.85	16
236.85	236.85	236.85	236.85	4
236.75	236.75	236.75	236.75	14
236.75	236.75	236.7	236.7	16
236.65	236.8	236.65	236.7	20
236.7	236.75	236.7	236.75	8
236.75	236.85	236.75	236.85	28
236.8	236.85	236.75	236.75	78
236.7	236.7	236.65	236.65	16
236.6	236.6	236.5	236.5	38
234.85	234.9	234.25	234.4	210
234.6	234.8	234.45	234.8	126
234.75	234.75	234.55	234.55	72
234.6	234.8	234.55	234.75	12
234.85	234.85	234.7	234.75	20
234.7	234.75	234.7	234.75	26
234.55	234.75	234.55	234.7	58
234.7	235.15	234.7	235.15	492
235.15	235.35	235.15	235.25	48
235.35	235.4	235.2	235.2	16
235.25	235.35	235.25	235.35	24
235.35	235.35	235.35	235.35	0
235.15	235.2	235.15	235.2	4
235.25	235.25	235.05	235.1	18
235.1	235.1	235.1	235.1	0
235.1	235.2	235.1	235.2	30
235.2	235.2	235.2	235.2	0
235.2	235.2	235.2	235.2	0
235.2	235.25	235.2	235.25	2
235.25	235.25	235.25	235.25	2
235.25	235.25	235.25	235.25	0
235.25	235.25	235.25	235.25	2
235.05	235.05	234.95	235	22
234.9	235.05	234.9	235	10
235.05	235.05	234.9	234.9	12
234.85	234.85	234.75	234.8	32
234.8	235.15	234.65	235.15	592
235.1	235.25	235.05	235.25	46
235.1	235.15	235.05	235.05	22
235.15	235.2	235.15	235.15	6
235.15	235.15	235.15	235.15	6
235.2	235.3	235.1	235.25	140
235.2	235.5	235.2	235.5	14
235.5	235.7	235.5	235.7	58
235.6	235.65	235.55	235.6	58
235.6	235.6	235.4	235.55	22
235.55	235.7	235.5	235.7	30
238.75	238.75	236.1	236.7	86
236.7	237.3	236.7	237.15	48
237.2	237.2	236.9	237.05	40
237	237	236.8	236.8	16
236.7	236.85	236.7	236.85	14
236.8	236.9	236.8	236.9	32
236.8	236.9	236.8	236.85	42
236.85	236.85	236.5	236.5	28
236.5	236.5	236.5	236.5	2
236.65	236.7	236.65	236.7	6
236.75	236.85	236.75	236.85	10
236.85	236.85	236.7	236.85	20
236.85	236.9	236.7	236.7	16
236.7	236.8	236.7	236.8	10
