date	open	high	low	close	volume
 2015/09/17-01:15	235.65	235.65	235.65	235.65	0
 2015/09/17-01:30	235.15	235.15	234.9	234.9	12
 2015/09/17-01:45	235.15	235.15	235.15	235.15	2
 2015/09/17-02:00	235.15	235.15	235.15	235.15	0
 2015/09/17-02:15	235.15	235.15	235.15	235.15	0
 2015/09/17-02:30	235.1	235.25	234.85	234.85	20
 2015/09/17-09:15	234.95	235.15	234.9	235	112
 2015/09/17-09:30	235	235.05	234.65	234.75	708
 2015/09/17-09:45	234.75	234.75	234.2	234.6	334
 2015/09/17-10:00	234.65	234.7	234.6	234.6	30
 2015/09/17-10:15	234.65	234.75	234.65	234.75	24
 2015/09/17-10:45	234.85	234.95	234.4	234.5	76
 2015/09/17-11:00	234.5	234.55	234.45	234.45	310
 2015/09/17-11:15	234.45	234.55	234.3	234.45	134
 2015/09/17-11:30	234.45	234.7	234.25	234.3	584
 2015/09/17-13:45	234.3	234.3	234.1	234.2	138
 2015/09/17-14:00	234.2	234.3	234.1	234.2	134
 2015/09/17-14:15	234.2	234.3	234.1	234.15	824
 2015/09/17-14:30	234.2	234.4	234.15	234.3	134
 2015/09/17-14:45	234.3	234.45	234.3	234.4	330
 2015/09/17-15:00	234.4	234.45	234.1	234.15	108
 2015/09/18-21:15	233.55	233.8	233.5	233.75	96
 2015/09/18-21:30	233.95	234.15	233.85	233.95	64
 2015/09/18-21:45	233.9	234.45	233.9	234.45	16
 2015/09/18-22:00	234.5	234.6	234.2	234.2	36
 2015/09/18-22:15	234.15	234.5	234.15	234.3	18
 2015/09/18-22:30	234.25	234.45	234.25	234.45	10
 2015/09/18-22:45	234.3	234.3	234.15	234.3	12
 2015/09/18-23:00	234.3	234.3	234.2	234.2	8
 2015/09/18-23:15	234.2	234.35	234.2	234.35	22
 2015/09/18-23:30	234.3	234.3	234.25	234.25	6
 2015/09/18-23:45	234.25	234.25	233.9	233.9	10
 2015/09/18-00:00	233.9	233.9	233.9	233.9	2
 2015/09/18-00:15	233.95	234.15	233.95	234.15	12
 2015/09/18-00:30	234	234.1	234	234	14
 2015/09/18-00:45	234	234.25	234	234.25	2
 2015/09/18-01:00	234.1	234.1	234.05	234.1	24
 2015/09/18-01:15	234.1	234.15	234	234.15	16
 2015/09/18-01:30	234.2	234.2	234.15	234.2	20
 2015/09/18-01:45	234.3	234.3	234.25	234.3	6
 2015/09/18-02:00	234.3	234.6	234.05	234.6	160
 2015/09/18-02:15	234.95	236.6	234.4	236.35	360
 2015/09/18-02:30	236.45	236.45	235.7	235.7	62
 2015/09/18-09:15	236.3	236.55	235.8	236	744
 2015/09/18-09:30	235.95	236.3	235.65	236.2	938
 2015/09/18-09:45	236.2	236.3	235.8	235.9	1322
 2015/09/18-10:00	235.9	235.9	235.7	235.8	114
 2015/09/18-10:15	235.75	235.75	235.55	235.55	46
 2015/09/18-10:45	235.5	235.5	235.2	235.45	180
 2015/09/18-11:00	235.5	235.5	235.3	235.3	176
 2015/09/18-11:15	235.35	235.45	235.35	235.35	16
 2015/09/18-11:30	235.35	235.45	235.35	235.45	34
 2015/09/18-13:45	235.35	235.55	235.2	235.55	644
 2015/09/18-14:00	235.5	235.65	235.5	235.55	34
 2015/09/18-14:15	235.65	235.7	235.55	235.55	128
 2015/09/18-14:30	235.55	235.55	235.1	235.25	290
 2015/09/18-14:45	235.3	235.3	234.95	235.05	222
 2015/09/18-15:00	235.05	235.3	235.05	235.15	170
 2015/09/21-21:15	237.5	242	237	237.4	410
 2015/09/21-21:30	237.5	237.65	237.3	237.35	124
 2015/09/21-21:45	237.35	237.4	237.15	237.2	88
 2015/09/21-22:00	237.35	237.8	237.2	237.5	90
 2015/09/21-22:15	237.6	237.65	237.2	237.25	174
 2015/09/21-22:30	237.35	237.6	236.8	236.8	50
 2015/09/21-22:45	236.8	237.05	236.8	237.05	20
 2015/09/21-23:00	236.95	237	236.65	236.75	12
 2015/09/21-23:15	236.85	236.85	236.5	236.75	26
 2015/09/21-23:30	236.75	236.95	236.75	236.8	24
 2015/09/21-23:45	236.7	236.85	236.7	236.8	22
 2015/09/21-00:00	236.7	236.8	236.7	236.8	8
 2015/09/21-00:15	236.8	237	236.8	236.95	8
 2015/09/21-00:30	236.9	236.9	236.6	236.6	88
 2015/09/21-00:45	236.75	236.75	236.75	236.75	2
 2015/09/21-01:00	236.75	236.85	236.75	236.85	2
 2015/09/21-01:15	236.85	236.85	236.85	236.85	0
 2015/09/21-01:30	236.85	236.85	236.8	236.8	2
 2015/09/21-01:45	236.8	236.8	236.8	236.8	0
 2015/09/21-02:00	236.8	236.8	236.8	236.8	0
 2015/09/21-02:15	236.8	236.8	236.8	236.8	0
 2015/09/21-02:30	236.55	237.1	236.45	236.55	32
 2015/09/21-09:15	236.55	237.05	236.55	236.95	206
 2015/09/21-09:30	236.95	237	236.85	237	138
 2015/09/21-09:45	237	237	236.85	236.85	70
 2015/09/21-10:00	236.8	236.85	236.8	236.85	6
 2015/09/21-10:15	236.95	236.95	236.85	236.85	36
 2015/09/21-10:45	236.85	237	236.85	236.9	48
 2015/09/21-11:00	236.95	237	236.95	236.95	6
 2015/09/21-11:15	236.95	237.1	236.95	237	54
 2015/09/21-11:30	237	237.05	237	237.05	2
 2015/09/21-13:45	237	237.05	237	237.05	36
 2015/09/21-14:00	237.15	237.55	237.15	237.45	156
 2015/09/21-14:15	237.45	237.55	237.35	237.55	172
 2015/09/21-14:30	237.5	237.5	237.4	237.45	22
 2015/09/21-14:45	237.4	237.5	237.35	237.45	74
 2015/09/21-15:00	237.4	237.7	237.4	237.7	84
 2015/09/22-21:15	236.45	236.75	236.4	236.75	182
 2015/09/22-21:30	236.75	236.75	236.3	236.35	110
 2015/09/22-21:45	236.45	236.5	236.4	236.4	60
 2015/09/22-22:00	236.4	236.75	236.4	236.75	50
 2015/09/22-22:15	236.75	236.75	236.6	236.65	36
 2015/09/22-22:30	236.65	236.75	236.6	236.75	32
 2015/09/22-22:45	236.55	236.55	236.35	236.35	24
 2015/09/22-23:00	236.35	236.6	236.35	236.45	20
 2015/09/22-23:15	236.3	236.45	236.3	236.4	10
 2015/09/22-23:30	236.4	236.45	236.4	236.45	2
 2015/09/22-23:45	236.5	236.5	236.5	236.5	6
 2015/09/22-00:00	236.5	236.55	236.5	236.55	6
 2015/09/22-00:15	236.55	236.75	236.55	236.75	10
 2015/09/22-00:30	236.75	236.75	236.55	236.75	6
 2015/09/22-00:45	236.7	236.7	236.65	236.65	4
 2015/09/22-01:00	236.65	236.7	236.65	236.7	2
 2015/09/22-01:15	236.8	236.8	236.8	236.8	2
 2015/09/22-01:30	236.4	236.6	236.4	236.6	4
 2015/09/22-01:45	236.6	236.6	236.55	236.55	2
 2015/09/22-02:00	236.55	236.55	236.55	236.55	0
 2015/09/22-02:15	236.55	236.55	236.55	236.55	0
 2015/09/22-02:30	236.55	236.55	236.55	236.55	0
 2015/09/22-09:15	236.6	236.6	236.55	236.6	28
 2015/09/22-09:30	236.55	236.6	236.55	236.6	14
 2015/09/22-09:45	236.6	236.75	236.6	236.75	14
 2015/09/22-10:00	236.75	236.95	236.7	236.95	70
 2015/09/22-10:15	236.95	237.05	236.95	237	38
 2015/09/22-10:45	236.9	236.95	236.85	236.85	16
 2015/09/22-11:00	236.85	236.85	236.85	236.85	4
 2015/09/22-11:15	236.75	236.75	236.75	236.75	14
 2015/09/22-11:30	236.75	236.75	236.7	236.7	16
 2015/09/22-13:45	236.65	236.8	236.65	236.7	20
 2015/09/22-14:00	236.7	236.75	236.7	236.75	8
 2015/09/22-14:15	236.75	236.85	236.75	236.85	28
 2015/09/22-14:30	236.8	236.85	236.75	236.75	78
 2015/09/22-14:45	236.7	236.7	236.65	236.65	16
 2015/09/22-15:00	236.6	236.6	236.5	236.5	38
 2015/09/23-21:15	234.85	234.9	234.25	234.4	210
 2015/09/23-21:30	234.6	234.8	234.45	234.8	126
 2015/09/23-21:45	234.75	234.75	234.55	234.55	72
 2015/09/23-22:00	234.6	234.8	234.55	234.75	12
 2015/09/23-22:15	234.85	234.85	234.7	234.75	20
 2015/09/23-22:30	234.7	234.75	234.7	234.75	26
 2015/09/23-22:45	234.55	234.75	234.55	234.7	58
 2015/09/23-23:00	234.7	235.15	234.7	235.15	492
 2015/09/23-23:15	235.15	235.35	235.15	235.25	48
 2015/09/23-23:30	235.35	235.4	235.2	235.2	16
 2015/09/23-23:45	235.25	235.35	235.25	235.35	24
 2015/09/23-00:00	235.35	235.35	235.35	235.35	0
 2015/09/23-00:15	235.15	235.2	235.15	235.2	4
 2015/09/23-00:30	235.25	235.25	235.05	235.1	18
 2015/09/23-00:45	235.1	235.1	235.1	235.1	0
 2015/09/23-01:00	235.1	235.2	235.1	235.2	30
 2015/09/23-01:15	235.2	235.2	235.2	235.2	0
 2015/09/23-01:30	235.2	235.2	235.2	235.2	0
 2015/09/23-01:45	235.2	235.25	235.2	235.25	2
 2015/09/23-02:00	235.25	235.25	235.25	235.25	2
