date	open	high	low	close	volume
 2015/05/18-21:15	419.5	420.5	419.5	420	14
 2015/05/18-21:30	420.5	420.5	420	420	90
 2015/05/18-21:45	421	421.5	420	420.5	382
 2015/05/18-22:00	421	422	420.5	421	152
 2015/05/18-22:15	421.5	423.5	421.5	423	32
 2015/05/18-22:30	423	423	421.5	421.5	412
 2015/05/18-22:45	421.5	422	421.5	421.5	206
 2015/05/18-23:00	421.5	423	421.5	422.5	494
 2015/05/18-23:15	423	423.5	422	422.5	120
 2015/05/18-23:30	422.5	422.5	421.5	421.5	282
 2015/05/18-09:15	422.5	425	420	425	588
 2015/05/18-09:30	425	425	422.5	423	346
 2015/05/18-09:45	422.5	422.5	421.5	422.5	174
 2015/05/18-10:00	422.5	422.5	421.5	422.5	98
 2015/05/18-10:15	422.5	423	422.5	423	28
 2015/05/18-10:45	423	423	421	421	78
 2015/05/18-11:00	421	422	420.5	422	20
 2015/05/18-11:15	422	423	421.5	422.5	150
 2015/05/18-11:30	423	423	421.5	422	28
 2015/05/18-13:45	421	422	421	422	104
 2015/05/18-14:00	421	421.5	421	421.5	46
 2015/05/18-14:15	421.5	422	420.5	421.5	172
 2015/05/18-14:30	421.5	421.5	421	421	68
 2015/05/18-14:45	421.5	422	421	422	190
 2015/05/18-15:00	421	421	419.5	420	254
 2015/05/19-21:15	415	419	415	418	248
 2015/05/19-21:30	418	418	416.5	418	162
 2015/05/19-21:45	417.5	417.5	416	416.5	330
 2015/05/19-22:00	417	418	416	418	176
 2015/05/19-22:15	417.5	417.5	417.5	417.5	36
 2015/05/19-22:30	417.5	417.5	417.5	417.5	24
 2015/05/19-22:45	417	417.5	417	417	80
 2015/05/19-23:00	416.5	417.5	416.5	416.5	14
 2015/05/19-23:15	416	417	416	417	10
 2015/05/19-23:30	417	417	417	417	20
 2015/05/19-09:15	417	418	417	417.5	144
 2015/05/19-09:30	417.5	418	417	417.5	44
 2015/05/19-09:45	417.5	417.5	416.5	417	38
 2015/05/19-10:00	417	417	416	416	100
 2015/05/19-10:15	415.5	416	415	415.5	200
 2015/05/19-10:45	416	416	416	416	16
 2015/05/19-11:00	415.5	416.5	414.5	416.5	72
 2015/05/19-11:15	416.5	417.5	416.5	417	404
 2015/05/19-11:30	417	420	417	419.5	440
 2015/05/19-13:45	419	419	418	419	210
 2015/05/19-14:00	418.5	419	418	418.5	126
 2015/05/19-14:15	418.5	418.5	417	418	78
 2015/05/19-14:30	417.5	418	417	417	28
 2015/05/19-14:45	416.5	417	415	415.5	238
 2015/05/19-15:00	415	415	414	415	112
 2015/05/20-21:15	412	413.5	412	413.5	238
 2015/05/20-21:30	414	414	413	413.5	548
 2015/05/20-21:45	413	413	412	412.5	378
 2015/05/20-22:00	412.5	412.5	411.5	411.5	140
 2015/05/20-22:15	412	412	409.5	410.5	294
 2015/05/20-22:30	410.5	411.5	409.5	410.5	338
 2015/05/20-22:45	410	410	409	409.5	100
 2015/05/20-23:00	409	409.5	408.5	409.5	114
 2015/05/20-23:15	409	409.5	407.5	409	390
 2015/05/20-23:30	409	411	409	411	202
 2015/05/20-09:15	411	412.5	409	410.5	440
 2015/05/20-09:30	410.5	411	410	411	294
 2015/05/20-09:45	411	411.5	410.5	411.5	120
 2015/05/20-10:00	411.5	411.5	411.5	411.5	10
 2015/05/20-10:15	411	412	411	411	16
 2015/05/20-10:45	411	411	409	409.5	242
 2015/05/20-11:00	409.5	409.5	409	409	134
 2015/05/20-11:15	409.5	409.5	407.5	407.5	254
 2015/05/20-11:30	408	409.5	408	408	348
 2015/05/20-13:45	408.5	408.5	404	404	356
 2015/05/20-14:00	403.5	405.5	403.5	405	454
 2015/05/20-14:15	405	405.5	404.5	405	160
 2015/05/20-14:30	405	405.5	404	404	84
 2015/05/20-14:45	404	405.5	403.5	405	112
 2015/05/20-15:00	404.5	408	404.5	407	424
 2015/05/21-21:15	408	409	406	408.5	508
 2015/05/21-21:30	409	409	408	408.5	146
 2015/05/21-21:45	408.5	410	407.5	410	518
 2015/05/21-22:00	410	412.5	410	412	448
 2015/05/21-22:15	412.5	412.5	410	410.5	308
 2015/05/21-22:30	410.5	410.5	410	410.5	46
 2015/05/21-22:45	410.5	411	408.5	409.5	136
 2015/05/21-23:00	409.5	409.5	408	409.5	78
 2015/05/21-23:15	410	410	409	409.5	52
 2015/05/21-23:30	410	410	409.5	410	86
 2015/05/21-09:15	410	412	410	411	324
 2015/05/21-09:30	411	411	410.5	411	74
 2015/05/21-09:45	410	411	410	411	74
 2015/05/21-10:00	411.5	411.5	411	411.5	50
 2015/05/21-10:15	411.5	414	411.5	413	282
 2015/05/21-10:45	413	414.5	413	414	322
 2015/05/21-11:00	414.5	414.5	414	414	192
 2015/05/21-11:15	414	417.5	414	417.5	486
 2015/05/21-11:30	417.5	417.5	415.5	417	308
 2015/05/21-13:45	417	417	415	416.5	878
 2015/05/21-14:00	416	416	414.5	414.5	232
 2015/05/21-14:15	414.5	415.5	413.5	414	206
 2015/05/21-14:30	414	415.5	414	414.5	106
 2015/05/21-14:45	415	415	414.5	414.5	68
 2015/05/21-15:00	414.5	415.5	414.5	415	108
 2015/05/22-21:15	414	415.5	413.5	414	186
 2015/05/22-21:30	414	416	414	415.5	154
