date	open	high	low	close	volume
 2015/12/23-14:15	7288.8	7290.4	7268.8	7276.2	20
 2015/12/23-14:30	7274.6	7288.4	7257.6	7257.6	46
 2015/12/23-14:45	7266.8	7274.4	7208	7225	48
 2015/12/23-15:00	7218	7218	7187.2	7192.2	48
 2015/12/24-09:45	7237.8	7240	7172.6	7174	96
 2015/12/24-10:00	7170	7175.2	7141	7175.2	54
 2015/12/24-10:15	7166	7180	7130	7142	97
 2015/12/24-10:30	7133.6	7157	7110	7110	43
 2015/12/24-10:45	7101	7116.8	7075.4	7096	51
 2015/12/24-11:00	7095.2	7116	7091.2	7116	17
 2015/12/24-11:15	7117.6	7142.8	7105.6	7126.2	19
 2015/12/24-11:30	7141.2	7141.2	7104	7104	21
 2015/12/24-13:15	7103.8	7121.8	7095.2	7095.6	13
 2015/12/24-13:30	7104	7127.2	7103.4	7127	15
 2015/12/24-13:45	7135.8	7150	7126.2	7140.8	29
 2015/12/24-14:00	7153	7159.2	7140	7157.8	16
 2015/12/24-14:15	7156.6	7158.2	7130	7130	14
 2015/12/24-14:30	7131.2	7188	7131.2	7186.8	19
 2015/12/24-14:45	7176.2	7241.2	7176.2	7220.6	33
 2015/12/24-15:00	7220.6	7224.2	7198	7200	40
 2015/12/25-09:45	7221.2	7221.2	7193.6	7200.4	34
 2015/12/25-10:00	7188	7198	7176.4	7198	14
 2015/12/25-10:15	7197.2	7217	7194.4	7214	30
 2015/12/25-10:30	7218	7220	7205.8	7215.8	17
 2015/12/25-10:45	7219.8	7226.4	7204.6	7204.6	12
 2015/12/25-11:00	7210	7215	7204	7206	17
 2015/12/25-11:15	7207.6	7215.4	7178.8	7178.8	27
 2015/12/25-11:30	7176.8	7190	7159.2	7190	18
 2015/12/25-13:15	7188	7213.8	7188	7211	19
 2015/12/25-13:30	7211	7228	7211	7228	24
 2015/12/25-13:45	7221.2	7225	7214	7224.6	13
 2015/12/25-14:00	7219.6	7219.6	7189.6	7190.2	26
 2015/12/25-14:15	7183.2	7192.8	7175.2	7192.8	10
 2015/12/25-14:30	7192.8	7192.8	7167	7176	13
 2015/12/25-14:45	7176.2	7212.8	7176	7207	17
 2015/12/25-15:00	7207.8	7242	7204.6	7242	56
 2015/12/28-09:45	7242	7242	7201.4	7210.6	51
 2015/12/28-10:00	7210	7210	7183.4	7205.2	39
 2015/12/28-10:15	7205.2	7216.2	7202.6	7202.6	32
 2015/12/28-10:30	7202.6	7208.4	7185	7208.4	34
 2015/12/28-10:45	7204	7210.8	7200	7204.6	8
 2015/12/28-11:00	7205.6	7214	7199.2	7199.8	13
 2015/12/28-11:15	7200.2	7204.8	7180	7190.2	31
 2015/12/28-11:30	7186.4	7186.4	7160.6	7184.4	26
 2015/12/28-13:15	7172	7172	7142.4	7142.4	26
 2015/12/28-13:30	7137.8	7148.6	7130	7130	26
 2015/12/28-13:45	7120.2	7120.2	7058.8	7065.8	61
 2015/12/28-14:00	7070	7075	7011	7011	58
 2015/12/28-14:15	7001.8	7052	7001.8	7041.6	23
 2015/12/28-14:30	7041	7084	7040.8	7040.8	20
 2015/12/28-14:45	7054	7070.8	6999.8	7024.4	19
 2015/12/28-15:00	7024.4	7024.4	6920.4	6945	52
 2015/12/29-09:45	6945.2	6990	6945.2	6990	56
 2015/12/29-10:00	6996.8	7008.8	6981.2	6981.2	31
 2015/12/29-10:15	6986.2	6986.2	6952	6957.2	30
