date	open	high	low	close	volume
 2015/10/22-09:20	6030	6060.4	6030	6030	8
 2015/10/22-09:25	6046.6	6046.6	6030	6030	9
 2015/10/22-09:30	6025.8	6072.4	6025.8	6069.2	6
 2015/10/22-09:35	6073.4	6076	6062	6073.4	7
 2015/10/22-09:40	6084.4	6098.2	6084.4	6098.2	2
 2015/10/22-09:45	6100	6100	6076.2	6076.2	2
 2015/10/22-09:50	6080	6080	6056	6068.4	12
 2015/10/22-09:55	6078.2	6078.2	6078.2	6078.2	1
 2015/10/22-10:00	6078.2	6078.2	6078.2	6078.2	0
 2015/10/22-10:05	6100	6100	6084.4	6084.4	2
 2015/10/22-10:10	6084.4	6084.4	6084.4	6084.4	0
 2015/10/22-10:15	6084.4	6084.4	6084.4	6084.4	0
 2015/10/22-10:20	6127.4	6132.4	6127.4	6132.4	3
 2015/10/22-10:25	6118.6	6118.6	6118	6118	2
 2015/10/22-10:30	6103	6108.8	6103	6108.8	2
 2015/10/22-10:35	6102.4	6107.4	6102.4	6107.4	2
 2015/10/22-10:40	6117.8	6117.8	6117.8	6117.8	1
 2015/10/22-10:45	6126	6126	6119	6119	2
 2015/10/22-10:50	6131.4	6131.4	6131.4	6131.4	1
 2015/10/22-10:55	6143	6143	6143	6143	1
 2015/10/22-11:00	6134.4	6186.6	6134.4	6186.6	7
 2015/10/22-11:05	6159.4	6159.4	6159.4	6159.4	1
 2015/10/22-11:10	6171.4	6171.4	6171.4	6171.4	1
 2015/10/22-11:15	6171.4	6171.4	6171.4	6171.4	0
 2015/10/22-11:20	6171.4	6171.4	6171.4	6171.4	0
 2015/10/22-11:25	6171.4	6171.4	6171.4	6171.4	0
 2015/10/22-11:30	6171.4	6171.4	6171.4	6171.4	0
 2015/10/22-13:05	6112.2	6112.2	6103.4	6103.4	2
 2015/10/22-13:10	6103.4	6103.4	6103.4	6103.4	1
 2015/10/22-13:15	6103.4	6103.4	6103.4	6103.4	0
 2015/10/22-13:20	6080.4	6080.4	6062	6062	5
 2015/10/22-13:25	6055.8	6055.8	6049.2	6049.2	5
 2015/10/22-13:30	6045.4	6045.4	6027.8	6027.8	2
 2015/10/22-13:35	6012.4	6012.4	6012.4	6012.4	1
 2015/10/22-13:40	6022	6028.4	6010	6028.4	5
 2015/10/22-13:45	6035.6	6035.6	6028.4	6028.4	2
 2015/10/22-13:50	6034.8	6034.8	6001.4	6001.4	4
 2015/10/22-13:55	6002	6002.6	6002	6002.6	2
 2015/10/22-14:00	6049	6055	6049	6055	2
 2015/10/22-14:05	6085	6092	6085	6092	3
 2015/10/22-14:10	6071	6071	6071	6071	1
 2015/10/22-14:15	6082.2	6082.2	6082.2	6082.2	1
 2015/10/22-14:20	6076.2	6141.8	6076.2	6141.8	4
 2015/10/22-14:25	6127.6	6128.8	6127.6	6128.8	2
 2015/10/22-14:30	6128.8	6128.8	6128.8	6128.8	0
 2015/10/22-14:35	6139	6166	6139	6166	5
 2015/10/22-14:40	6173.6	6177	6173.6	6177	2
 2015/10/22-14:45	6190	6234.8	6190	6234.8	6
 2015/10/22-14:50	6234.8	6234.8	6234.8	6234.8	0
 2015/10/22-14:55	6191.4	6212.8	6191.4	6212.8	2
 2015/10/22-15:00	6200	6200	6188.2	6188.2	4
 2015/10/22-15:05	6190.8	6207	6190.2	6192	5
 2015/10/22-15:10	6192	6192	6180	6180	2
 2015/10/22-15:15	6145.8	6145.8	6145.8	6145.8	1
 2015/10/23-09:20	6199	6218.8	6191.2	6205.8	16
 2015/10/23-09:25	6205.8	6205.8	6200	6200	2
 2015/10/23-09:30	6189.2	6189.2	6189.2	6189.2	1
 2015/10/23-09:35	6216	6216	6216	6216	1
 2015/10/23-09:40	6219	6239	6219	6235.8	10
 2015/10/23-09:45	6220	6220	6195.4	6195.4	3
 2015/10/23-09:50	6196.4	6204.2	6194.6	6204.2	3
 2015/10/23-09:55	6205	6229.8	6205	6229.8	5
 2015/10/23-10:00	6238.6	6238.6	6238.6	6238.6	1
 2015/10/23-10:05	6239	6259.8	6239	6259.8	2
 2015/10/23-10:10	6260.4	6260.4	6260.4	6260.4	1
 2015/10/23-10:15	6256	6256	6235.4	6235.4	11
 2015/10/23-10:20	6248.2	6248.2	6248.2	6248.2	1
 2015/10/23-10:25	6250	6277.2	6250	6277.2	8
 2015/10/23-10:30	6266	6266	6266	6266	1
 2015/10/23-10:35	6266	6266	6236.4	6236.4	3
 2015/10/23-10:40	6236.4	6236.4	6236.4	6236.4	0
 2015/10/23-10:45	6228.6	6228.6	6213	6213	4
 2015/10/23-10:50	6213	6213	6213	6213	0
 2015/10/23-10:55	6209.8	6209.8	6209.8	6209.8	1
 2015/10/23-11:00	6195	6198.8	6195	6198.8	2
 2015/10/23-11:05	6191	6191	6165.8	6169.4	3
 2015/10/23-11:10	6169.4	6169.4	6169.4	6169.4	0
 2015/10/23-11:15	6197.4	6200	6197.4	6200	2
 2015/10/23-11:20	6219.8	6219.8	6206.8	6206.8	2
 2015/10/23-11:25	6201	6202	6201	6202	2
 2015/10/23-11:30	6175.4	6175.4	6175.4	6175.4	1
 2015/10/23-13:05	6205.2	6205.2	6174.8	6174.8	2
 2015/10/23-13:10	6174.8	6174.8	6174.8	6174.8	1
 2015/10/23-13:15	6208	6208	6208	6208	1
 2015/10/23-13:20	6204.4	6204.4	6204.4	6204.4	1
 2015/10/23-13:25	6204.4	6204.4	6204.4	6204.4	0
 2015/10/23-13:30	6221.8	6224.4	6221.8	6224.4	2
 2015/10/23-13:35	6239	6249.6	6239	6249.6	3
 2015/10/23-13:40	6249.6	6249.6	6249.6	6249.6	0
 2015/10/23-13:45	6238.2	6238.2	6201	6201	2
 2015/10/23-13:50	6229	6249	6229	6249	5
 2015/10/23-13:55	6249	6249	6249	6249	1
 2015/10/23-14:00	6249.8	6249.8	6249.8	6249.8	1
 2015/10/23-14:05	6278.6	6290	6278.6	6289.4	5
 2015/10/23-14:10	6286.8	6286.8	6273.8	6273.8	2
 2015/10/23-14:15	6273.4	6273.4	6273.4	6273.4	1
 2015/10/23-14:20	6278.8	6279	6278.8	6279	2
 2015/10/23-14:25	6293.4	6310	6293.4	6310	4
 2015/10/23-14:30	6321	6322.6	6320.8	6322.6	3
 2015/10/23-14:35	6330.4	6368.8	6330.4	6368.8	7
 2015/10/23-14:40	6369.8	6369.8	6350	6350	2
 2015/10/23-14:45	6359	6359	6359	6359	1
 2015/10/23-14:50	6379.6	6379.6	6361.6	6361.6	2
 2015/10/23-14:55	6340.2	6340.2	6340.2	6340.2	1
 2015/10/23-15:00	6340.2	6340.2	6340.2	6340.2	0
 2015/10/23-15:05	6347.2	6347.2	6343.8	6343.8	5
 2015/10/23-15:10	6356.8	6360	6356.8	6360	2
 2015/10/23-15:15	6360	6360	6360	6360	0
 2015/10/26-09:20	6399	6400	6376.6	6376.6	7
 2015/10/26-09:25	6363.2	6368.2	6363.2	6368.2	3
 2015/10/26-09:30	6368.6	6371.4	6355.6	6355.6	5
 2015/10/26-09:35	6355.6	6355.6	6355.6	6355.6	0
 2015/10/26-09:40	6349.8	6352.4	6301.4	6302.2	6
 2015/10/26-09:45	6302.2	6320.4	6302.2	6320.4	2
 2015/10/26-09:50	6320	6326	6320	6326	2
 2015/10/26-09:55	6326	6354.8	6326	6354.8	7
 2015/10/26-10:00	6327.8	6335	6318	6318	20
 2015/10/26-10:05	6312	6312	6293.4	6293.4	8
 2015/10/26-10:10	6288	6295	6260	6260	8
 2015/10/26-10:15	6260	6260	6260	6260	0
 2015/10/26-10:20	6279	6279	6279	6279	1
 2015/10/26-10:25	6280	6286.8	6280	6286.8	2
 2015/10/26-10:30	6286.8	6286.8	6286.8	6286.8	0
 2015/10/26-10:35	6303.6	6303.6	6303.6	6303.6	1
 2015/10/26-10:40	6303.6	6303.6	6303.6	6303.6	2
 2015/10/26-10:45	6273	6273	6273	6273	1
 2015/10/26-10:50	6250	6250	6250	6250	2
 2015/10/26-10:55	6275.6	6275.6	6275.6	6275.6	3
 2015/10/26-11:00	6285	6285	6285	6285	1
 2015/10/26-11:05	6301.6	6301.6	6301.6	6301.6	1
 2015/10/26-11:10	6302.8	6307.2	6302.8	6307.2	2
 2015/10/26-11:15	6307.2	6307.2	6307.2	6307.2	0
 2015/10/26-11:20	6320	6320	6320	6320	3
 2015/10/26-11:25	6320	6320	6320	6320	0
 2015/10/26-11:30	6320	6320	6320	6320	0
 2015/10/26-13:05	6320	6320	6320	6320	0
 2015/10/26-13:10	6320	6320	6320	6320	0
 2015/10/26-13:15	6333	6333.8	6333	6333.8	2
 2015/10/26-13:20	6334	6338	6334	6338	2
 2015/10/26-13:25	6338.8	6356.4	6338.8	6356.4	5
 2015/10/26-13:30	6352	6352	6345.2	6345.2	3
 2015/10/26-13:35	6345.2	6345.2	6345.2	6345.2	0
 2015/10/26-13:40	6303.2	6303.2	6303.2	6303.2	1
 2015/10/26-13:45	6296.2	6296.2	6296.2	6296.2	1
 2015/10/26-13:50	6272.6	6272.6	6258.2	6258.2	2
 2015/10/26-13:55	6258.6	6258.6	6258.6	6258.6	1
