date	open	high	low	close	volume
 2015/12/23-14:15	3747	3751.8	3742.2	3749.8	51
 2015/12/23-14:30	3744.6	3768	3744.2	3747.8	57
 2015/12/23-14:45	3743.8	3747.4	3713.6	3725.8	53
 2015/12/23-15:00	3717	3719.6	3701.6	3708	130
 2015/12/24-09:45	3724.8	3725	3684.8	3692.6	230
 2015/12/24-10:00	3694	3694	3674	3686.8	69
 2015/12/24-10:15	3688.6	3697.6	3679	3679	47
 2015/12/24-10:30	3678.4	3692.2	3671.6	3671.6	43
 2015/12/24-10:45	3670.2	3673.2	3653.8	3661	113
 2015/12/24-11:00	3662.2	3667.6	3658.4	3667.6	42
 2015/12/24-11:15	3666	3675	3656.8	3665	55
 2015/12/24-11:30	3668	3668	3644.8	3649.6	52
 2015/12/24-13:15	3649	3654.8	3640	3640.4	51
 2015/12/24-13:30	3641.2	3664	3641	3662.2	25
 2015/12/24-13:45	3662.2	3666.8	3652.2	3666.8	34
 2015/12/24-14:00	3667.8	3675.6	3660	3672.4	47
 2015/12/24-14:15	3670	3674	3653	3658.8	37
 2015/12/24-14:30	3658.8	3683.6	3658.8	3683.6	35
 2015/12/24-14:45	3686	3697	3681.6	3685	54
 2015/12/24-15:00	3688	3692.4	3680.4	3684.4	69
 2015/12/25-09:45	3661.6	3704.8	3661.6	3688.2	152
 2015/12/25-10:00	3686	3690.8	3681	3688.8	29
 2015/12/25-10:15	3688.8	3697	3685.4	3697	41
 2015/12/25-10:30	3699	3699	3690.4	3697.4	37
 2015/12/25-10:45	3694.2	3697.4	3683.2	3689	54
 2015/12/25-11:00	3689	3693.8	3689	3689.2	13
 2015/12/25-11:15	3692	3696	3678.6	3678.6	37
 2015/12/25-11:30	3678	3685	3672	3685	32
 2015/12/25-13:15	3687	3692.8	3682.6	3692	50
 2015/12/25-13:30	3695	3705.2	3693.2	3705.2	45
 2015/12/25-13:45	3705.2	3709	3696.6	3709	74
 2015/12/25-14:00	3709	3714.6	3694.8	3695	104
 2015/12/25-14:15	3694	3695	3688.2	3694.8	37
 2015/12/25-14:30	3689.2	3696.6	3681.4	3688	34
 2015/12/25-14:45	3687.4	3704.4	3687.4	3695	56
 2015/12/25-15:00	3695.6	3718	3694.6	3712.2	131
 2015/12/28-09:45	3700	3718.8	3690	3693.2	148
 2015/12/28-10:00	3695.2	3695.2	3676	3685.6	57
 2015/12/28-10:15	3681.6	3691.4	3680.8	3680.8	76
