date	open	high	low	close	volume
 2016/01/05-09:35	3298	3342.8	3254.2	3330.4	317
 2016/01/05-09:40	3337.4	3347.2	3318.2	3327.4	177
 2016/01/05-09:45	3327.4	3333.2	3318.4	3333.2	83
 2016/01/05-09:50	3333.2	3382.2	3332.6	3371.8	100
 2016/01/05-09:55	3375	3377.8	3360.2	3360.8	39
 2016/01/05-10:00	3360.8	3365.6	3353.6	3353.6	34
 2016/01/05-10:05	3353.6	3358.6	3332.2	3338.6	87
 2016/01/05-10:10	3337.8	3339	3322.2	3339	80
 2016/01/05-10:15	3340	3357	3339.4	3353.4	28
 2016/01/05-10:20	3354.8	3358.6	3342.8	3342.8	17
 2016/01/05-10:25	3345	3346	3337.6	3338	18
 2016/01/05-10:30	3338	3359.4	3338	3356.8	23
 2016/01/05-10:35	3370	3374.6	3362.6	3366.4	32
 2016/01/05-10:40	3363	3363	3350	3350	39
 2016/01/05-10:45	3346.6	3353	3341	3353	7
 2016/01/05-10:50	3348	3361.8	3342	3353.8	27
 2016/01/05-10:55	3356.4	3369.4	3353	3360.2	14
 2016/01/05-11:00	3361	3370	3351.2	3370	29
 2016/01/05-11:05	3369.8	3386.2	3368.8	3376.2	38
 2016/01/05-11:10	3375.4	3379.6	3371.8	3371.8	13
 2016/01/05-11:15	3373	3373	3363	3366.8	23
 2016/01/05-11:20	3366.8	3366.8	3356	3356	18
 2016/01/05-11:25	3356	3366.6	3356	3366.6	6
 2016/01/05-11:30	3369.8	3369.8	3355	3355	13
 2016/01/05-13:05	3355	3363	3355	3355	9
 2016/01/05-13:10	3353	3353.2	3348.6	3348.8	7
 2016/01/05-13:15	3351	3354	3335.6	3335.6	14
 2016/01/05-13:20	3339.6	3339.6	3322.2	3330	38
 2016/01/05-13:25	3332.4	3334.8	3322.6	3326.8	23
 2016/01/05-13:30	3322	3322	3300	3300	51
 2016/01/05-13:35	3299	3304	3277.2	3304	66
 2016/01/05-13:40	3302.6	3308.8	3300.2	3303	28
 2016/01/05-13:45	3300	3318.8	3293.4	3315.2	41
 2016/01/05-13:50	3318	3320	3315	3315.4	17
 2016/01/05-13:55	3315.2	3315.2	3296	3296	25
 2016/01/05-14:00	3295	3308	3293.4	3308	32
 2016/01/05-14:05	3311	3322.4	3306	3306	17
 2016/01/05-14:10	3303.4	3307.4	3280.2	3280.2	40
 2016/01/05-14:15	3280	3280	3240	3252	102
 2016/01/05-14:20	3250	3283.8	3240	3271.2	62
 2016/01/05-14:25	3271.2	3295	3270	3295	33
 2016/01/05-14:30	3290	3313.8	3289.8	3306.4	31
 2016/01/05-14:35	3306.6	3311.4	3296.6	3297.6	52
 2016/01/05-14:40	3310.6	3346.8	3310.6	3338	44
 2016/01/05-14:45	3338	3338	3325	3325	12
 2016/01/05-14:50	3322	3336	3320.2	3323.4	14
 2016/01/05-14:55	3329.6	3331	3309.4	3320.4	37
 2016/01/05-15:00	3325	3327.8	3310.4	3312	26

