date	open	high	low	close	volume
 2015/07/20-09:45	2720.2	2744	2715.8	2721	5
 2015/07/20-10:00	2715.2	2720.6	2709.6	2709.6	9
 2015/07/20-10:15	2709.6	2710	2709.6	2710	3
 2015/07/20-10:30	2710	2712	2709.6	2712	6
 2015/07/20-10:45	2726.8	2726.8	2702.6	2702.6	5
 2015/07/20-11:00	2702.4	2705.8	2702.4	2705.8	2
 2015/07/20-11:15	2700.2	2700.2	2698	2698	2
 2015/07/20-11:30	2698	2698	2698	2698	0
 2015/07/20-13:15	2681	2705.4	2681	2683.6	3
 2015/07/20-13:30	2662.4	2662.4	2650	2650	5
 2015/07/20-13:45	2638.4	2673.8	2633.6	2662.8	13
 2015/07/20-14:00	2662.8	2662.8	2632	2632	1
 2015/07/20-14:15	2632	2670	2632	2655.8	3
 2015/07/20-14:30	2655.8	2678	2655.8	2678	1
 2015/07/20-14:45	2678	2678	2678	2678	0
 2015/07/20-15:00	2655	2667.8	2655	2666	4
 2015/07/21-09:45	2666.6	2666.6	2601	2616	22
 2015/07/21-10:00	2617	2617	2610.6	2610.6	6
 2015/07/21-10:15	2618.4	2618.4	2594.2	2594.2	16
 2015/07/21-10:30	2594.2	2632	2594.2	2629	5
 2015/07/21-10:45	2629	2645.8	2629	2645.8	2
 2015/07/21-11:00	2645.8	2645.8	2620	2620	1
 2015/07/21-11:15	2620	2644.8	2620	2644.8	2
 2015/07/21-11:30	2643.6	2666	2643.4	2660.2	6
 2015/07/21-13:15	2639.6	2639.6	2638.2	2638.2	3
 2015/07/21-13:30	2638.2	2656.8	2638.2	2656.8	2
 2015/07/21-13:45	2661.2	2661.2	2651.2	2652.2	4
 2015/07/21-14:00	2652.2	2652.2	2644	2651.6	2
 2015/07/21-14:15	2654.6	2654.6	2638.2	2638.2	7
 2015/07/21-14:30	2629	2632	2629	2632	3
 2015/07/21-14:45	2613.2	2633	2613	2633	12
 2015/07/21-15:00	2627.2	2636	2627.2	2636	7
 2015/07/22-09:45	2623.6	2623.6	2604.2	2608.4	13
 2015/07/22-10:00	2608.4	2615	2606	2608	8
 2015/07/22-10:15	2607	2618	2601.2	2618	5
 2015/07/22-10:30	2615	2615	2603.2	2606	5
 2015/07/22-10:45	2606	2614	2606	2612.2	3
 2015/07/22-11:00	2616	2616	2612	2612	2
 2015/07/22-11:15	2610.6	2610.6	2589	2589	4
 2015/07/22-11:30	2588	2599.6	2584.8	2585	13
 2015/07/22-13:15	2585	2585	2579.4	2581.2	4
 2015/07/22-13:30	2581.2	2585	2579.2	2585	13
 2015/07/22-13:45	2585	2585	2579.6	2579.6	2
 2015/07/22-14:00	2573	2574	2557.4	2574	12
 2015/07/22-14:15	2588	2589.4	2578.2	2589.4	20
 2015/07/22-14:30	2585.4	2595	2576	2595	4
 2015/07/22-14:45	2597.8	2602	2593.4	2602	4
 2015/07/22-15:00	2603.4	2604.2	2588	2588	14
 2015/07/23-09:45	2595.6	2602	2595.6	2602	5
 2015/07/23-10:00	2605.4	2613	2600	2613	8
 2015/07/23-10:15	2625	2643.6	2625	2635	5
 2015/07/23-10:30	2635	2643.6	2635	2642.4	3
 2015/07/23-10:45	2652.8	2665	2652.8	2658	3
 2015/07/23-11:00	2645.4	2645.4	2645.4	2645.4	2
 2015/07/23-11:15	2661	2661	2661	2661	1
 2015/07/23-11:30	2658.2	2675	2658.2	2675	4
 2015/07/23-13:15	2681.8	2689.6	2681.6	2681.6	6
 2015/07/23-13:30	2679.2	2679.2	2678.8	2678.8	3
 2015/07/23-13:45	2685	2689	2671	2671	8
 2015/07/23-14:00	2673.6	2677.6	2668.2	2668.2	5
 2015/07/23-14:15	2687.2	2696.6	2678	2678	10
 2015/07/23-14:30	2678	2700.2	2678	2700.2	5
 2015/07/23-14:45	2700.2	2700.2	2700.2	2700.2	0
 2015/07/23-15:00	2711.8	2711.8	2700	2706.2	9
 2015/07/24-09:45	2710	2720	2699.2	2701	38
 2015/07/24-10:00	2699.2	2699.2	2690.2	2690.2	10
 2015/07/24-10:15	2690.8	2698.8	2690.8	2691.8	9
 2015/07/24-10:30	2691.2	2691.2	2673.6	2675.4	10
 2015/07/24-10:45	2674.4	2674.4	2659.2	2664.4	17
 2015/07/24-11:00	2666.8	2671.8	2660.2	2660.2	10
 2015/07/24-11:15	2660.2	2660.2	2660.2	2660.2	0
 2015/07/24-11:30	2660.2	2696.8	2660.2	2696	4
 2015/07/24-13:15	2696	2696	2696	2696	0
 2015/07/24-13:30	2694	2694	2685.2	2685.2	3
 2015/07/24-13:45	2660.8	2660.8	2641	2647	5
 2015/07/24-14:00	2635.8	2656.4	2635.8	2656.4	4
 2015/07/24-14:15	2662	2662	2636	2646.6	4
 2015/07/24-14:30	2646.6	2654.8	2646.6	2654.8	1
 2015/07/24-14:45	2654.8	2654.8	2649.4	2649.4	1
 2015/07/24-15:00	2639	2639	2611.4	2611.4	17
 2015/07/27-09:45	2607	2612.8	2595.4	2601.4	15
 2015/07/27-10:00	2584.2	2584.2	2584.2	2584.2	1
 2015/07/27-10:15	2584.2	2585	2584.2	2585	3
 2015/07/27-10:30	2585	2598.8	2576	2576	3
 2015/07/27-10:45	2596.8	2596.8	2586.8	2586.8	3
 2015/07/27-11:00	2586.8	2586.8	2565.2	2565.2	1
 2015/07/27-11:15	2560	2572.6	2558.6	2559.6	11
 2015/07/27-11:30	2559.6	2559.6	2530.6	2530.6	18
 2015/07/27-13:15	2518	2533	2518	2530	5
 2015/07/27-13:30	2530	2530	2530	2530	0
 2015/07/27-13:45	2530	2530	2525	2529.8	3
 2015/07/27-14:00	2523	2540.6	2523	2525	6
 2015/07/27-14:15	2510	2510.2	2500	2500	3
 2015/07/27-14:30	2500	2500	2491.6	2491.6	4
 2015/07/27-14:45	2469.6	2470.4	2450.6	2450.6	12
 2015/07/27-15:00	2416	2416	2368	2385	30
 2015/07/28-09:45	2354.8	2404	2330	2390	53
 2015/07/28-10:00	2396	2399	2354.6	2354.6	8
 2015/07/28-10:15	2354.2	2374.2	2344.4	2374.2	6
 2015/07/28-10:30	2384.4	2384.4	2350	2350	16
