date	open	high	low	close	volume
 2015/10/29-09:20	2223.8	2223.8	2223.8	2223.8	0
 2015/10/29-09:25	2223.8	2223.8	2223.8	2223.8	0
 2015/10/29-09:30	2223.8	2223.8	2223.8	2223.8	0
 2015/10/29-09:35	2232.4	2232.4	2232.4	2232.4	2
 2015/10/29-09:40	2232.4	2232.4	2232.4	2232.4	0
 2015/10/29-09:45	2225.8	2225.8	2225.8	2225.8	1
 2015/10/29-09:50	2225.8	2225.8	2225.8	2225.8	0
 2015/10/29-09:55	2225.8	2225.8	2225.8	2225.8	0
 2015/10/29-10:00	2225.8	2225.8	2225.8	2225.8	0
 2015/10/29-10:05	2225.8	2225.8	2225.8	2225.8	0
 2015/10/29-10:10	2225.8	2225.8	2225.8	2225.8	0
 2015/10/29-10:15	2227	2227	2227	2227	1
 2015/10/29-10:20	2227	2227	2227	2227	0
 2015/10/29-10:25	2227	2227	2227	2227	0
 2015/10/29-10:30	2227	2227	2227	2227	0
 2015/10/29-10:35	2227	2227	2227	2227	0
 2015/10/29-10:40	2227	2227	2227	2227	0
 2015/10/29-10:45	2227	2227	2227	2227	0
 2015/10/29-10:50	2216.8	2216.8	2216.8	2216.8	1
 2015/10/29-10:55	2215.8	2215.8	2215.8	2215.8	1
 2015/10/29-11:00	2215.8	2215.8	2215.8	2215.8	0
 2015/10/29-11:05	2215.8	2215.8	2215.8	2215.8	0
 2015/10/29-11:10	2215.8	2215.8	2215.8	2215.8	0
 2015/10/29-11:15	2215.8	2215.8	2215.8	2215.8	0
 2015/10/29-11:20	2213.2	2213.2	2213.2	2213.2	1
 2015/10/29-11:25	2211.6	2211.6	2211.6	2211.6	2
 2015/10/29-11:30	2211.6	2211.6	2211.6	2211.6	0
 2015/10/29-13:05	2218.2	2218.2	2218.2	2218.2	1
 2015/10/29-13:10	2218.2	2218.2	2218.2	2218.2	0
 2015/10/29-13:15	2218.2	2218.2	2218.2	2218.2	0
 2015/10/29-13:20	2218.2	2218.2	2218.2	2218.2	0
 2015/10/29-13:25	2218.2	2218.2	2218.2	2218.2	0
 2015/10/29-13:30	2218.2	2218.2	2218.2	2218.2	0
 2015/10/29-13:35	2218.2	2218.2	2218.2	2218.2	0
 2015/10/29-13:40	2218.2	2218.2	2218.2	2218.2	0
 2015/10/29-13:45	2218.2	2218.2	2218.2	2218.2	0
 2015/10/29-13:50	2233	2233	2233	2233	1
 2015/10/29-13:55	2230	2230	2230	2230	1
 2015/10/29-14:00	2231.4	2231.4	2231.4	2231.4	1
 2015/10/29-14:05	2231.4	2231.4	2231.4	2231.4	0
 2015/10/29-14:10	2231.4	2231.4	2231.4	2231.4	0
 2015/10/29-14:15	2237.8	2237.8	2236	2236	2
 2015/10/29-14:20	2237	2237	2237	2237	1
 2015/10/29-14:25	2239	2240.2	2239	2240.2	2
 2015/10/29-14:30	2236	2236	2233.8	2233.8	2
 2015/10/29-14:35	2233.8	2233.8	2233.8	2233.8	0
 2015/10/29-14:40	2233.8	2233.8	2233.8	2233.8	0
 2015/10/29-14:45	2233.8	2233.8	2233.8	2233.8	0
 2015/10/29-14:50	2233.8	2233.8	2233.8	2233.8	0
 2015/10/29-14:55	2218.8	2218.8	2213.2	2213.2	4
 2015/10/29-15:00	2224	2225	2224	2225	2
 2015/10/29-15:05	2225	2225	2225	2225	1
 2015/10/29-15:10	2225	2225	2225	2225	0
 2015/10/29-15:15	2225	2225	2225	2225	0
 2015/10/30-09:20	2226.8	2226.8	2226.8	2226.8	0
 2015/10/30-09:25	2226.8	2226.8	2226.8	2226.8	0
 2015/10/30-09:30	2226.8	2226.8	2226.8	2226.8	0
 2015/10/30-09:35	2225.2	2225.2	2225.2	2225.2	1
 2015/10/30-09:40	2225.2	2225.2	2225.2	2225.2	0
 2015/10/30-09:45	2221.8	2221.8	2221.8	2221.8	1
 2015/10/30-09:50	2217.2	2217.2	2217.2	2217.2	1
 2015/10/30-09:55	2217.2	2217.2	2217.2	2217.2	0
 2015/10/30-10:00	2217.4	2217.4	2217.4	2217.4	1
 2015/10/30-10:05	2217.4	2217.4	2217.4	2217.4	0
 2015/10/30-10:10	2217.4	2217.4	2217.4	2217.4	0
 2015/10/30-10:15	2217.4	2217.4	2217.4	2217.4	0
 2015/10/30-10:20	2217.4	2217.4	2217.4	2217.4	0
 2015/10/30-10:25	2217.4	2217.4	2217.4	2217.4	0
 2015/10/30-10:30	2218	2218	2218	2218	1
 2015/10/30-10:35	2218	2218	2218	2218	0
 2015/10/30-10:40	2218	2218	2218	2218	0
 2015/10/30-10:45	2218	2218	2218	2218	0
 2015/10/30-10:50	2218	2218	2218	2218	0
 2015/10/30-10:55	2218	2218	2218	2218	0
 2015/10/30-11:00	2218	2218	2218	2218	0
 2015/10/30-11:05	2218	2218	2218	2218	0
 2015/10/30-11:10	2218	2218	2218	2218	0
 2015/10/30-11:15	2218	2218	2218	2218	0
 2015/10/30-11:20	2218	2218	2218	2218	0
 2015/10/30-11:25	2218	2218	2218	2218	0
 2015/10/30-11:30	2218	2218	2218	2218	0
 2015/10/30-13:05	2230.6	2230.6	2230.6	2230.6	1
 2015/10/30-13:10	2230.6	2230.6	2230.6	2230.6	0
 2015/10/30-13:15	2230	2230	2230	2230	2
 2015/10/30-13:20	2230	2230	2230	2230	0
 2015/10/30-13:25	2230	2230	2230	2230	0
 2015/10/30-13:30	2230	2230	2230	2230	0
 2015/10/30-13:35	2230	2230	2230	2230	0
 2015/10/30-13:40	2233.4	2233.4	2227.6	2227.6	3
 2015/10/30-13:45	2227.6	2227.6	2227.6	2227.6	0
 2015/10/30-13:50	2227.6	2227.6	2227.6	2227.6	0
 2015/10/30-13:55	2227.6	2227.6	2227.6	2227.6	0
 2015/10/30-14:00	2244	2244	2244	2244	1
 2015/10/30-14:05	2238	2244	2237	2243.6	5
 2015/10/30-14:10	2248.4	2248.4	2236.8	2236.8	3
 2015/10/30-14:15	2245	2245.4	2245	2245.4	2
 2015/10/30-14:20	2245.4	2245.4	2245.4	2245.4	0
 2015/10/30-14:25	2244.4	2244.4	2244.4	2244.4	1
 2015/10/30-14:30	2244.4	2244.4	2244.4	2244.4	0
 2015/10/30-14:35	2244.4	2244.4	2244.4	2244.4	0
 2015/10/30-14:40	2244.4	2244.4	2244.4	2244.4	0
 2015/10/30-14:45	2235	2235	2235	2235	1
 2015/10/30-14:50	2235	2235	2235	2235	1
 2015/10/30-14:55	2235	2235	2235	2235	0
 2015/10/30-15:00	2224.2	2224.6	2224.2	2224.6	2
 2015/10/30-15:05	2225	2225	2225	2225	1
 2015/10/30-15:10	2225	2225	2225	2225	0
 2015/10/30-15:15	2225	2225	2225	2225	0
 2015/11/02-09:20	2210	2210	2210	2210	1
 2015/11/02-09:25	2210	2210	2204.2	2204.2	4
 2015/11/02-09:30	2204.2	2204.2	2204.2	2204.2	0
 2015/11/02-09:35	2204.2	2204.2	2204.2	2204.2	0
 2015/11/02-09:40	2204.2	2204.2	2204.2	2204.2	0
 2015/11/02-09:45	2211	2211	2211	2211	1
 2015/11/02-09:50	2216.8	2216.8	2216.8	2216.8	1
 2015/11/02-09:55	2216.8	2216.8	2216.8	2216.8	1
 2015/11/02-10:00	2216.8	2216.8	2214.2	2214.2	2
 2015/11/02-10:05	2214.2	2214.2	2214.2	2214.2	0
 2015/11/02-10:10	2213.4	2213.4	2212.6	2212.6	2
 2015/11/02-10:15	2213	2215.2	2213	2215.2	2
 2015/11/02-10:20	2215.2	2215.2	2215.2	2215.2	0
 2015/11/02-10:25	2215.2	2215.2	2215.2	2215.2	0
 2015/11/02-10:30	2218	2218	2218	2218	1
 2015/11/02-10:35	2218	2218	2218	2218	0
 2015/11/02-10:40	2217.4	2217.4	2217.4	2217.4	1
 2015/11/02-10:45	2217.4	2217.4	2217.4	2217.4	0
 2015/11/02-10:50	2217.4	2217.4	2217.4	2217.4	0
 2015/11/02-10:55	2217.4	2217.4	2217.4	2217.4	0
 2015/11/02-11:00	2217.4	2217.4	2217.4	2217.4	0
 2015/11/02-11:05	2217.4	2217.4	2217.4	2217.4	0
 2015/11/02-11:10	2217.4	2217.4	2217.4	2217.4	0
 2015/11/02-11:15	2217.4	2217.4	2217.4	2217.4	0
 2015/11/02-11:20	2217.4	2217.4	2217.4	2217.4	0
 2015/11/02-11:25	2217.4	2217.4	2217.4	2217.4	0
 2015/11/02-11:30	2217.4	2217.4	2217.4	2217.4	0
 2015/11/02-13:05	2217.4	2217.4	2217.4	2217.4	0
 2015/11/02-13:10	2217.4	2217.4	2217.4	2217.4	0
