date	open	high	low	close	volume
 2016/01/22-09:35	1994	2007.4	1990	1990	117
 2016/01/22-09:40	1989	1993.6	1986	1992.4	43
 2016/01/22-09:45	1990	1993.6	1988.4	1992.6	30
 2016/01/22-09:50	1991.8	1991.8	1985.4	1987.2	17
 2016/01/22-09:55	1987	1989.6	1979	1979.2	22
 2016/01/22-10:00	1981	1981.2	1977.4	1979.2	20
 2016/01/22-10:05	1981.6	1985.4	1980.2	1985.4	16
 2016/01/22-10:10	1985.6	1986.2	1982.2	1982.2	14
 2016/01/22-10:15	1982.4	1986.4	1982.4	1985	8
 2016/01/22-10:20	1982	1992.6	1982	1990.2	34
 2016/01/22-10:25	1990	1991.4	1983.8	1984	33
 2016/01/22-10:30	1984	1988	1983.6	1988	9
 2016/01/22-10:35	1983.4	1983.8	1982	1982.6	37
 2016/01/22-10:40	1982.6	1987.4	1982	1986.8	30
 2016/01/22-10:45	1988.2	1988.2	1982.6	1982.6	10
 2016/01/22-10:50	1982.6	1983.4	1980.2	1980.2	63
 2016/01/22-10:55	1979.6	1985.6	1978.6	1985.6	15
 2016/01/22-11:00	1981.2	1985.2	1980	1980.2	11
 2016/01/22-11:05	1980.2	1980.2	1971.8	1975.2	30
 2016/01/22-11:10	1975.2	1975.8	1968	1972	17
 2016/01/22-11:15	1969.6	1969.6	1962.6	1967.4	26
 2016/01/22-11:20	1966.6	1969.4	1966	1969.4	12
 2016/01/22-11:25	1969.4	1970.2	1969.4	1970.2	7
 2016/01/22-11:30	1973	1973.2	1970.2	1970.2	11
 2016/01/22-13:05	1970.4	1980	1970.4	1980	17
 2016/01/22-13:10	1977.8	1979.4	1976.4	1976.4	7
 2016/01/22-13:15	1981.4	1988	1980	1986.8	13
 2016/01/22-13:20	1987.6	1989	1985.6	1986.8	22
 2016/01/22-13:25	1986.8	1990.4	1986	1987.2	16
 2016/01/22-13:30	1985.2	1989.2	1985	1989.2	9
 2016/01/22-13:35	1991	1992	1982.6	1985.8	19
 2016/01/22-13:40	1987.2	1990.2	1984	1984	15
 2016/01/22-13:45	1983.6	1985.2	1982	1984.8	15
 2016/01/22-13:50	1986.2	1986.2	1983	1985	10
 2016/01/22-13:55	1985.8	1994.8	1985.8	1994.8	13
 2016/01/22-14:00	1995	1999.8	1994	1998	27
 2016/01/22-14:05	1998	2007.6	1998	1998	37
 2016/01/22-14:10	1998	2004.4	1995	1998.6	79
 2016/01/22-14:15	2001.2	2004	1998.8	1998.8	8
 2016/01/22-14:20	1994.4	1994.8	1991.8	1994	13
 2016/01/22-14:25	1995.4	1995.4	1985.2	1986.4	17
 2016/01/22-14:30	1984.4	1987	1984	1985.8	21
 2016/01/22-14:35	1986.2	1990	1983.8	1990	26
 2016/01/22-14:40	1988	1989.6	1987	1987.2	14
 2016/01/22-14:45	1987.4	1989	1985	1985	20
 2016/01/22-14:50	1983	1988	1983	1988	16
 2016/01/22-14:55	1989.8	1991	1989	1991	25
 2016/01/22-15:00	1991	2000.6	1991	2000.6	36
 2016/01/25-09:35	2007.4	2008.8	1997.2	1998.4	53
 2016/01/25-09:40	2001.4	2001.4	1995	1995.4	20
 2016/01/25-09:45	1997.2	1998	1995.2	1996	14
 2016/01/25-09:50	1994.6	1998	1992.2	1998	22
 2016/01/25-09:55	1995.4	2005.6	1995	2003	25
 2016/01/25-10:00	2002.2	2005	1999.8	2001.8	15
 2016/01/25-10:05	2004	2004	1999.2	2000	16
 2016/01/25-10:10	2000.8	2001.6	1997	2001.6	17
 2016/01/25-10:15	2001.4	2005	2001.4	2001.4	15
 2016/01/25-10:20	2001.8	2001.8	1996.8	1999.6	13
 2016/01/25-10:25	1999	1999	1995.2	1995.2	8
 2016/01/25-10:30	1995	1996.4	1990.4	1996.4	18
 2016/01/25-10:35	1998	1999	1994.8	1999	9
 2016/01/25-10:40	1997.2	1997.2	1992.2	1994	10
 2016/01/25-10:45	1994	1998.4	1992.2	1994.6	11
 2016/01/25-10:50	1992.2	2005.6	1992.2	2004.6	38
 2016/01/25-10:55	2004.6	2005	2001.4	2001.8	13
 2016/01/25-11:00	2001.8	2001.8	2001	2001	4
 2016/01/25-11:05	2002	2006.8	2002	2006.8	29
 2016/01/25-11:10	2003.6	2008.6	2003	2006.4	10
 2016/01/25-11:15	2007.6	2009.2	2006	2006	13
 2016/01/25-11:20	2008.2	2008.2	2005	2005	16
 2016/01/25-11:25	2003	2004.8	2001	2004.6	15
 2016/01/25-11:30	2002.6	2005	2000	2003.2	20
 2016/01/25-13:05	2005	2005	1998.2	1999.2	13
 2016/01/25-13:10	1999.8	2002.2	1999.2	2001.6	10
 2016/01/25-13:15	2001.6	2001.6	1997.8	1998	4
 2016/01/25-13:20	1998.2	2000.4	1993.6	1994	19
 2016/01/25-13:25	1994	1997	1993.8	1996.2	7
 2016/01/25-13:30	1994.6	1997	1993	1996.6	15
 2016/01/25-13:35	1994.4	1994.4	1986.8	1991.8	20
 2016/01/25-13:40	1987.2	1990	1987	1990	7
 2016/01/25-13:45	1989.4	1990.6	1989.4	1990.6	7
 2016/01/25-13:50	1992.8	1992.8	1991	1991	4
 2016/01/25-13:55	1991.6	1994.6	1986	1987	21
 2016/01/25-14:00	1987	1991.6	1987	1990	10
 2016/01/25-14:05	1988.2	1990.8	1984.6	1985.2	12
 2016/01/25-14:10	1985.4	1988.2	1984.4	1988.2	12
 2016/01/25-14:15	1984.4	1992.6	1984.2	1992.2	17
 2016/01/25-14:20	1992	1993	1989.4	1991.2	10
 2016/01/25-14:25	1988	1988.8	1985.6	1985.6	9
 2016/01/25-14:30	1985.4	1987.6	1984	1987.6	9
 2016/01/25-14:35	1986.2	1986.2	1985	1985	4
 2016/01/25-14:40	1988.6	1990.2	1988	1989	15
 2016/01/25-14:45	1987.2	1992	1987.2	1992	19
 2016/01/25-14:50	1992	1992	1990.4	1990.8	14
 2016/01/25-14:55	1990.4	1993.8	1990.4	1991	23
 2016/01/25-15:00	1991	1994.4	1991	1992.6	19
 2016/01/26-09:35	1986.6	1987.6	1977.4	1979.2	36
 2016/01/26-09:40	1978.2	1980.6	1973.6	1978.4	20
 2016/01/26-09:45	1978.8	1980	1972	1972.4	23
 2016/01/26-09:50	1973.2	1973.8	1970.4	1972.2	18
 2016/01/26-09:55	1973.2	1977.8	1970	1977.8	14
 2016/01/26-10:00	1975.4	1976.6	1975.4	1976.6	2
 2016/01/26-10:05	1973.8	1975.6	1968	1968	11
 2016/01/26-10:10	1968	1971.2	1965.2	1971.2	11
 2016/01/26-10:15	1969.2	1974.2	1969	1974.2	12
 2016/01/26-10:20	1974.2	1974.4	1970.4	1972.2	12
 2016/01/26-10:25	1972.2	1976	1971.6	1976	5
 2016/01/26-10:30	1973.2	1973.2	1970	1970	9
 2016/01/26-10:35	1970.2	1971.4	1969.2	1971.4	6
 2016/01/26-10:40	1970.8	1975	1969.6	1975	11
 2016/01/26-10:45	1974	1978.2	1973.6	1974	9
 2016/01/26-10:50	1973.8	1975.8	1973.6	1975	10
 2016/01/26-10:55	1978	1984.2	1976.8	1982.4	32
 2016/01/26-11:00	1984.2	1984.2	1979.8	1979.8	11
 2016/01/26-11:05	1982.4	1984	1980	1980	9
 2016/01/26-11:10	1980.4	1980.6	1976	1976.4	15
 2016/01/26-11:15	1977.2	1981.4	1976.4	1979.4	17
 2016/01/26-11:20	1977	1977.2	1974.2	1974.2	3
 2016/01/26-11:25	1974.2	1974.2	1973.8	1973.8	2
 2016/01/26-11:30	1970.2	1971	1964.2	1964.2	12
 2016/01/26-13:05	1961	1963.2	1953.6	1959.2	28
 2016/01/26-13:10	1959.8	1962.4	1953	1957.2	24
 2016/01/26-13:15	1957.8	1961	1955.6	1957.4	20
 2016/01/26-13:20	1958.2	1958.2	1955.2	1957.8	17
 2016/01/26-13:25	1954.8	1956.2	1952.8	1956.2	16
 2016/01/26-13:30	1957	1961.8	1957	1958	12
 2016/01/26-13:35	1958.2	1959	1956	1956	8
 2016/01/26-13:40	1955.8	1955.8	1951.8	1953.2	19
 2016/01/26-13:45	1954.2	1956	1950	1950	13
 2016/01/26-13:50	1950	1950	1939.4	1939.4	41
 2016/01/26-13:55	1938.4	1946.6	1938.4	1944.6	23
 2016/01/26-14:00	1944.6	1948	1942.8	1947	23
 2016/01/26-14:05	1945.6	1948.6	1940.8	1948	26
 2016/01/26-14:10	1948	1948	1936.2	1936.2	34
 2016/01/26-14:15	1936	1936.2	1926.6	1929.6	31
 2016/01/26-14:20	1925.6	1931.4	1923.8	1928.4	22
 2016/01/26-14:25	1928	1928	1902	1902	47
 2016/01/26-14:30	1903	1910	1901.8	1908	27
 2016/01/26-14:35	1907.8	1908	1901.6	1902	24
 2016/01/26-14:40	1901.4	1901.4	1886.6	1888	45
 2016/01/26-14:45	1887.8	1899.8	1887.4	1892.2	38
 2016/01/26-14:50	1892	1893.2	1889.2	1892.2	31
 2016/01/26-14:55	1889.2	1890	1882.4	1886.4	28
 2016/01/26-15:00	1883.4	1894	1883.4	1891.8	50
 2016/01/27-09:35	1902	1908.8	1897	1900.4	72
 2016/01/27-09:40	1901.4	1904	1898.4	1903.4	49
 2016/01/27-09:45	1906	1911.2	1906	1907.6	27
 2016/01/27-09:50	1907.2	1908.4	1898	1901.4	23
 2016/01/27-09:55	1897	1903	1894.2	1900.2	28
 2016/01/27-10:00	1900.2	1900.2	1893.4	1896.8	13
 2016/01/27-10:05	1896.8	1898	1890	1890	33
 2016/01/27-10:10	1888.4	1889.4	1883.2	1883.4	24
 2016/01/27-10:15	1889.2	1890.2	1883.4	1890.2	28
 2016/01/27-10:20	1895	1898.4	1891.6	1897	12
 2016/01/27-10:25	1894.4	1894.4	1891.8	1891.8	9
 2016/01/27-10:30	1892	1898	1889.8	1896.2	16
 2016/01/27-10:35	1897.8	1900	1894.6	1897.6	21
 2016/01/27-10:40	1897.2	1897.6	1894.6	1896.2	15
 2016/01/27-10:45	1896.2	1896.2	1890.6	1892	11
 2016/01/27-10:50	1892.6	1900.2	1892.6	1897.6	25
 2016/01/27-10:55	1897.6	1899.8	1897.6	1897.6	22
 2016/01/27-11:00	1897.6	1899.2	1897.2	1897.2	44
 2016/01/27-11:05	1890.8	1890.8	1887.4	1889.6	13
 2016/01/27-11:10	1890.6	1890.6	1882.2	1888.6	30
 2016/01/27-11:15	1888.2	1894	1885	1894	26
 2016/01/27-11:20	1894.4	1895.4	1893	1893	6
 2016/01/27-11:25	1885.6	1890.2	1885.6	1887.2	10
 2016/01/27-11:30	1886.4	1886.4	1878	1880.6	17
 2016/01/27-13:05	1878.6	1880.2	1872.2	1873	24
 2016/01/27-13:10	1872	1873	1861.2	1862	38
 2016/01/27-13:15	1869.2	1874.2	1867	1869.8	13
 2016/01/27-13:20	1871.6	1877.4	1868.6	1873.2	39
 2016/01/27-13:25	1871	1884.4	1871	1884	27
 2016/01/27-13:30	1884.6	1886.6	1881	1881	23
 2016/01/27-13:35	1883.4	1883.6	1877.8	1877.8	21
 2016/01/27-13:40	1877.8	1877.8	1872.4	1874.6	22
 2016/01/27-13:45	1874.4	1879.6	1870.6	1878	39
 2016/01/27-13:50	1883.8	1884.6	1878.4	1884.4	18
 2016/01/27-13:55	1884.4	1884.6	1882	1883	12
 2016/01/27-14:00	1882.2	1884.6	1874	1874	27
 2016/01/27-14:05	1873.8	1880.6	1873.8	1877.2	9
 2016/01/27-14:10	1875	1877.2	1862	1866.6	19
 2016/01/27-14:15	1863.2	1871.6	1863.2	1865	19
 2016/01/27-14:20	1869.2	1895	1869.2	1890.2	38
 2016/01/27-14:25	1890.6	1903	1887.2	1903	26
 2016/01/27-14:30	1904	1911	1904	1906.2	39
 2016/01/27-14:35	1906.8	1907.6	1903	1903.8	16
 2016/01/27-14:40	1907.4	1909.4	1899	1899	21
 2016/01/27-14:45	1898.4	1904	1897.8	1902	12
 2016/01/27-14:50	1900.2	1902	1898	1899	10
 2016/01/27-14:55	1897.8	1901.8	1897.8	1901.6	14
 2016/01/27-15:00	1900.8	1900.8	1886.6	1890	24
 2016/01/28-09:35	1890	1890	1881.2	1881.2	45
 2016/01/28-09:40	1882.2	1892.6	1878.6	1891	31
 2016/01/28-09:45	1891.8	1896.2	1889.6	1896.2	32
 2016/01/28-09:50	1896.4	1896.4	1888.2	1891.2	21
 2016/01/28-09:55	1888.6	1892.8	1886.6	1891.6	19
 2016/01/28-10:00	1891	1900	1891	1898.8	34
 2016/01/28-10:05	1899	1904.6	1896	1896	35
 2016/01/28-10:10	1896.2	1897.2	1893	1896	21
 2016/01/28-10:15	1897.8	1898.8	1892.4	1898.8	13
