date	open	high	low	close	volume
 2016/11/30-21:15	1342	1347.5	1316	1332.5	20042
 2016/11/30-21:30	1332.5	1341	1326	1335.5	8184
 2016/11/30-21:45	1336	1336	1312.5	1321.5	10858
 2016/11/30-22:00	1321.5	1323	1306	1307	9736
 2016/11/30-22:15	1306	1318.5	1301.5	1316	8568
 2016/11/30-22:30	1316.5	1316.5	1307	1308	3612
 2016/11/30-22:45	1308	1318	1305.5	1310	4354
 2016/11/30-23:00	1310.5	1315.5	1299	1299	6056
 2016/11/30-23:15	1298	1303.5	1290	1296.5	6558
 2016/11/30-23:30	1297	1315	1292.5	1310.5	5336
 2016/11/30-09:15	1311	1327	1303.5	1322	11948
 2016/11/30-09:30	1323	1325	1310.5	1313	4718
 2016/11/30-09:45	1312.5	1325.5	1310	1324	6056
 2016/11/30-10:00	1324	1326	1314	1316	3370
 2016/11/30-10:15	1316	1324	1312.5	1317.5	2476
 2016/11/30-10:45	1315.5	1319	1307	1307	3936
 2016/11/30-11:00	1306.5	1307	1282.5	1285	9478
 2016/11/30-11:15	1286.5	1288	1282	1282	7336
 2016/11/30-11:30	1282	1282	1282	1282	612
 2016/11/30-13:45	1282	1282	1282	1282	1010
 2016/11/30-14:00	1282	1305	1282	1285.5	15812
 2016/11/30-14:15	1285.5	1286.5	1282	1282	4870
 2016/11/30-14:30	1282	1282.5	1282	1282	834
 2016/11/30-14:45	1282	1286	1282	1286	2986
 2016/11/30-15:00	1286	1295	1282	1294.5	9642
 2016/12/01-21:15	1308.5	1339	1300	1322	25714
 2016/12/01-21:30	1321.5	1329	1316.5	1324.5	8590
 2016/12/01-21:45	1324	1325	1314	1320	5718
 2016/12/01-22:00	1320.5	1326	1318.5	1321	3700
 2016/12/01-22:15	1322	1331.5	1320	1331	3512
 2016/12/01-22:30	1331	1334	1318.5	1319.5	6828
 2016/12/01-22:45	1319.5	1319.5	1298	1298.5	10188
 2016/12/01-23:00	1298.5	1316	1296	1307	6960
 2016/12/01-23:15	1308	1316	1294.5	1295.5	5134
 2016/12/01-23:30	1294.5	1307	1283.5	1287.5	7092
 2016/12/01-09:15	1293	1307	1288.5	1296	12154
 2016/12/01-09:30	1295	1318	1290	1317	7600
 2016/12/01-09:45	1317.5	1321.5	1310	1316	8832
 2016/12/01-10:00	1316	1326	1314.5	1324.5	5308
 2016/12/01-10:15	1324.5	1331	1311.5	1318.5	6188
 2016/12/01-10:45	1318.5	1328.5	1305	1305.5	5264
 2016/12/01-11:00	1306	1320	1305.5	1315.5	3632
 2016/12/01-11:15	1318	1322.5	1314	1319.5	3366
 2016/12/01-11:30	1318.5	1328	1314.5	1328	2802
 2016/12/01-13:45	1330	1365	1328	1354	23492
 2016/12/01-14:00	1353.5	1366	1344	1353	10348
 2016/12/01-14:15	1353	1354	1335	1338	7624
 2016/12/01-14:30	1337.5	1338.5	1315.5	1320.5	9154
 2016/12/01-14:45	1319.5	1325	1301	1311	9254
 2016/12/01-15:00	1311	1318.5	1306	1306.5	7786
 2016/12/02-21:15	1305	1318.5	1301.5	1311	13284
 2016/12/02-21:30	1311	1312.5	1261	1269	28326
 2016/12/02-21:45	1269	1275	1244	1253.5	24094
 2016/12/02-22:00	1254.5	1267	1247	1259	13960
 2016/12/02-22:15	1258.5	1275	1251.5	1270	10362
 2016/12/02-22:30	1269.5	1275.5	1256.5	1260.5	8688
 2016/12/02-22:45	1260	1268	1255	1266	7044
 2016/12/02-23:00	1266	1266	1251.5	1260.5	5196
 2016/12/02-23:15	1261	1270	1253	1266	4740
 2016/12/02-23:30	1266	1271	1260.5	1269	3150
 2016/12/02-09:15	1269	1272	1241	1248.5	13948
 2016/12/02-09:30	1249	1298	1246	1292	17502
 2016/12/02-09:45	1291	1293.5	1279	1286	10312
 2016/12/02-10:00	1286	1286	1271	1276	7170
 2016/12/02-10:15	1275	1282	1271	1279	2884
 2016/12/02-10:45	1279	1280	1256.5	1264	7622
 2016/12/02-11:00	1263	1268	1258	1260	4360
 2016/12/02-11:15	1259.5	1276.5	1257	1268	4750
 2016/12/02-11:30	1269	1273.5	1245	1248.5	10080
 2016/12/02-13:45	1248	1248	1234.5	1243	16998
 2016/12/02-14:00	1242	1249.5	1240	1243	5610
 2016/12/02-14:15	1242.5	1248.5	1239	1247	4928
 2016/12/02-14:30	1247.5	1254	1223	1253.5	15182
 2016/12/02-14:45	1252	1265	1246	1264.5	12204
 2016/12/02-15:00	1264.5	1279	1255	1276	13502
 2016/12/05-21:15	1276	1285	1253.5	1260.5	15198
 2016/12/05-21:30	1261	1275.5	1260	1263.5	9390
 2016/12/05-21:45	1263.5	1269.5	1251	1258.5	9880
 2016/12/05-22:00	1260	1264	1255	1260	2842
 2016/12/05-22:15	1259.5	1264	1252	1252	2270
 2016/12/05-22:30	1253	1262.5	1252	1261	2972
 2016/12/05-22:45	1261.5	1263.5	1256.5	1262.5	1472
 2016/12/05-23:00	1263	1277.5	1260	1262.5	9362
 2016/12/05-23:15	1262.5	1264	1256.5	1259.5	3230
 2016/12/05-23:30	1259.5	1263	1255	1261.5	3108
 2016/12/05-09:15	1262.5	1274	1246.5	1249	14114
 2016/12/05-09:30	1249	1256	1239	1252.5	9036
 2016/12/05-09:45	1251	1276.5	1248.5	1266.5	11362
 2016/12/05-10:00	1265.5	1272.5	1263	1267.5	6002
 2016/12/05-10:15	1268	1275	1264	1274	5216
 2016/12/05-10:45	1277.5	1288.5	1272	1279.5	11878
 2016/12/05-11:00	1280	1294	1276.5	1290	8802
 2016/12/05-11:15	1290	1297	1284	1290	11840
 2016/12/05-11:30	1290.5	1295	1285	1292	4234
 2016/12/05-13:45	1292.5	1319.5	1290	1314.5	17320
 2016/12/05-14:00	1314	1319.5	1304.5	1307	8580
 2016/12/05-14:15	1307.5	1311.5	1290.5	1295.5	6662
 2016/12/05-14:30	1295	1297.5	1290	1294.5	4864
 2016/12/05-14:45	1294.5	1302.5	1291.5	1298.5	4026
 2016/12/05-15:00	1298	1299.5	1290.5	1292.5	5096
 2016/12/06-21:15	1293	1310	1280.5	1305.5	12872
 2016/12/06-21:30	1306	1308	1292	1297.5	6360
