date	open	high	low	close	volume
 2015/05/18-22:30	2469	2470	2462	2467	48
 2015/05/18-22:45	2467	2470	2467	2470	12
 2015/05/18-23:00	2470	2471	2468	2471	8
 2015/05/18-23:15	2472	2473	2468	2469	20
 2015/05/18-23:30	2468	2470	2466	2470	20
 2015/05/18-23:45	2470	2470	2470	2470	0
 2015/05/18-00:00	2470	2470	2467	2467	6
 2015/05/18-00:15	2466	2466	2465	2466	8
 2015/05/18-00:30	2466	2466	2466	2466	0
 2015/05/18-00:45	2466	2466	2464	2464	2
 2015/05/18-01:00	2464	2466	2464	2466	14
 2015/05/18-09:15	2466	2476	2463	2473	56
 2015/05/18-09:30	2478	2478	2470	2470	122
 2015/05/18-09:45	2468	2470	2466	2470	26
 2015/05/18-10:00	2473	2473	2470	2470	30
 2015/05/18-10:15	2470	2470	2470	2470	0
 2015/05/18-10:45	2471	2473	2463	2463	28
 2015/05/18-11:00	2465	2470	2464	2470	12
 2015/05/18-11:15	2470	2470	2464	2465	6
 2015/05/18-11:30	2465	2468	2465	2467	18
 2015/05/18-13:45	2466	2471	2466	2471	106
 2015/05/18-14:00	2471	2472	2470	2472	20
 2015/05/18-14:15	2470	2473	2469	2473	26
 2015/05/18-14:30	2474	2474	2471	2473	16
 2015/05/18-14:45	2471	2473	2471	2473	28
 2015/05/18-15:00	2473	2473	2464	2464	38
 2015/05/19-21:15	2461	2465	2459	2462	24
 2015/05/19-21:30	2462	2464	2458	2458	86
 2015/05/19-21:45	2459	2459	2455	2458	66
 2015/05/19-22:00	2458	2459	2456	2457	46
 2015/05/19-22:15	2457	2460	2457	2460	4
 2015/05/19-22:30	2460	2460	2457	2460	84
 2015/05/19-22:45	2459	2460	2459	2459	78
 2015/05/19-23:00	2459	2459	2459	2459	2
 2015/05/19-23:15	2458	2460	2457	2460	14
 2015/05/19-23:30	2460	2460	2460	2460	0
 2015/05/19-23:45	2460	2460	2460	2460	0
 2015/05/19-00:00	2459	2460	2459	2460	54
 2015/05/19-00:15	2460	2460	2460	2460	0
 2015/05/19-00:30	2460	2460	2460	2460	0
 2015/05/19-00:45	2460	2460	2460	2460	0
 2015/05/19-01:00	2460	2463	2460	2463	6
 2015/05/19-09:15	2456	2466	2456	2463	30
 2015/05/19-09:30	2463	2465	2462	2464	36
 2015/05/19-09:45	2464	2466	2462	2466	30
 2015/05/19-10:00	2465	2465	2463	2463	180
 2015/05/19-10:15	2463	2465	2461	2464	302
 2015/05/19-10:45	2463	2465	2461	2461	96
 2015/05/19-11:00	2462	2463	2460	2463	136
 2015/05/19-11:15	2464	2465	2458	2458	526
 2015/05/19-11:30	2459	2459	2457	2458	770
 2015/05/19-13:45	2458	2458	2457	2458	160
 2015/05/19-14:00	2458	2458	2454	2454	76
 2015/05/19-14:15	2454	2456	2452	2453	104
 2015/05/19-14:30	2452	2452	2450	2451	76
 2015/05/19-14:45	2451	2451	2448	2450	146
 2015/05/19-15:00	2450	2452	2444	2448	134
 2015/05/20-21:15	2444	2449	2442	2443	26
 2015/05/20-21:30	2443	2444	2443	2444	34
 2015/05/20-21:45	2443	2443	2432	2437	78
 2015/05/20-22:00	2439	2440	2437	2439	28
 2015/05/20-22:15	2438	2438	2427	2430	74
 2015/05/20-22:30	2431	2431	2424	2424	44
 2015/05/20-22:45	2424	2425	2420	2423	134
 2015/05/20-23:00	2424	2428	2421	2425	38
 2015/05/20-23:15	2424	2425	2423	2424	30
 2015/05/20-23:30	2426	2426	2425	2425	50
 2015/05/20-23:45	2427	2428	2427	2428	4
 2015/05/20-00:00	2428	2428	2425	2425	4
 2015/05/20-00:15	2425	2427	2425	2427	10
 2015/05/20-00:30	2428	2428	2428	2428	6
 2015/05/20-00:45	2428	2428	2428	2428	20
 2015/05/20-01:00	2428	2428	2424	2424	6
 2015/05/20-09:15	2427	2429	2424	2424	184
 2015/05/20-09:30	2425	2429	2424	2429	102
 2015/05/20-09:45	2429	2430	2426	2429	32
 2015/05/20-10:00	2429	2430	2427	2427	28
 2015/05/20-10:15	2427	2427	2427	2427	0
 2015/05/20-10:45	2427	2429	2426	2429	44
 2015/05/20-11:00	2430	2430	2427	2427	34
 2015/05/20-11:15	2427	2428	2426	2426	110
 2015/05/20-11:30	2426	2431	2426	2431	496
 2015/05/20-13:45	2431	2432	2422	2422	654
 2015/05/20-14:00	2421	2422	2420	2421	204
 2015/05/20-14:15	2421	2421	2418	2419	56
 2015/05/20-14:30	2419	2420	2412	2412	120
 2015/05/20-14:45	2412	2419	2411	2412	136
 2015/05/20-15:00	2413	2420	2410	2417	148
 2015/05/21-21:15	2418	2426	2418	2426	40
 2015/05/21-21:30	2427	2428	2422	2424	130
 2015/05/21-21:45	2423	2425	2422	2425	52
 2015/05/21-22:00	2426	2430	2425	2430	112
 2015/05/21-22:15	2430	2430	2425	2428	42
 2015/05/21-22:30	2427	2428	2427	2428	24
 2015/05/21-22:45	2425	2425	2423	2424	20
 2015/05/21-23:00	2422	2426	2421	2426	42
 2015/05/21-23:15	2425	2428	2425	2428	8
 2015/05/21-23:30	2425	2425	2425	2425	10
 2015/05/21-23:45	2425	2425	2425	2425	0
 2015/05/21-00:00	2425	2425	2425	2425	0
 2015/05/21-00:15	2425	2425	2425	2425	0
 2015/05/21-00:30	2425	2425	2425	2425	0
 2015/05/21-00:45	2425	2425	2425	2425	0
 2015/05/21-01:00	2425	2425	2425	2425	0
 2015/05/21-09:15	2427	2430	2426	2430	80
 2015/05/21-09:30	2430	2430	2426	2429	34
 2015/05/21-09:45	2426	2426	2421	2424	54
 2015/05/21-10:00	2427	2429	2426	2427	34
 2015/05/21-10:15	2427	2433	2427	2432	178
 2015/05/21-10:45	2433	2436	2432	2434	204
 2015/05/21-11:00	2434	2434	2431	2431	130
 2015/05/21-11:15	2433	2435	2431	2435	348
 2015/05/21-11:30	2435	2438	2434	2438	542
 2015/05/21-13:45	2438	2440	2436	2438	580
 2015/05/21-14:00	2438	2440	2435	2435	240
 2015/05/21-14:15	2435	2437	2433	2435	144
 2015/05/21-14:30	2437	2437	2435	2435	88
 2015/05/21-14:45	2438	2438	2436	2436	10
 2015/05/21-15:00	2438	2440	2436	2436	18
