open	high	low	close	volume
2469	2470	2462	2467	48
2467	2470	2467	2470	12
2470	2471	2468	2471	8
2472	2473	2468	2469	20
2468	2470	2466	2470	20
2470	2470	2470	2470	0
2470	2470	2467	2467	6
2466	2466	2465	2466	8
2466	2466	2466	2466	0
2466	2466	2464	2464	2
2464	2466	2464	2466	14
2466	2476	2463	2473	56
2478	2478	2470	2470	122
2468	2470	2466	2470	26
2473	2473	2470	2470	30
2470	2470	2470	2470	0
2471	2473	2463	2463	28
2465	2470	2464	2470	12
2470	2470	2464	2465	6
2465	2468	2465	2467	18
2466	2471	2466	2471	106
2471	2472	2470	2472	20
2470	2473	2469	2473	26
2474	2474	2471	2473	16
2471	2473	2471	2473	28
2473	2473	2464	2464	38
2461	2465	2459	2462	24
2462	2464	2458	2458	86
2459	2459	2455	2458	66
2458	2459	2456	2457	46
2457	2460	2457	2460	4
2460	2460	2457	2460	84
2459	2460	2459	2459	78
2459	2459	2459	2459	2
2458	2460	2457	2460	14
2460	2460	2460	2460	0
2460	2460	2460	2460	0
2459	2460	2459	2460	54
2460	2460	2460	2460	0
2460	2460	2460	2460	0
2460	2460	2460	2460	0
2460	2463	2460	2463	6
2456	2466	2456	2463	30
2463	2465	2462	2464	36
2464	2466	2462	2466	30
2465	2465	2463	2463	180
2463	2465	2461	2464	302
2463	2465	2461	2461	96
2462	2463	2460	2463	136
2464	2465	2458	2458	526
2459	2459	2457	2458	770
2458	2458	2457	2458	160
2458	2458	2454	2454	76
2454	2456	2452	2453	104
2452	2452	2450	2451	76
2451	2451	2448	2450	146
2450	2452	2444	2448	134
2444	2449	2442	2443	26
2443	2444	2443	2444	34
2443	2443	2432	2437	78
2439	2440	2437	2439	28
2438	2438	2427	2430	74
2431	2431	2424	2424	44
2424	2425	2420	2423	134
2424	2428	2421	2425	38
2424	2425	2423	2424	30
2426	2426	2425	2425	50
2427	2428	2427	2428	4
2428	2428	2425	2425	4
2425	2427	2425	2427	10
2428	2428	2428	2428	6
2428	2428	2428	2428	20
2428	2428	2424	2424	6
2427	2429	2424	2424	184
2425	2429	2424	2429	102
2429	2430	2426	2429	32
2429	2430	2427	2427	28
2427	2427	2427	2427	0
2427	2429	2426	2429	44
2430	2430	2427	2427	34
2427	2428	2426	2426	110
2426	2431	2426	2431	496
2431	2432	2422	2422	654
2421	2422	2420	2421	204
2421	2421	2418	2419	56
2419	2420	2412	2412	120
2412	2419	2411	2412	136
2413	2420	2410	2417	148
2418	2426	2418	2426	40
2427	2428	2422	2424	130
2423	2425	2422	2425	52
2426	2430	2425	2430	112
2430	2430	2425	2428	42
2427	2428	2427	2428	24
2425	2425	2423	2424	20
2422	2426	2421	2426	42
2425	2428	2425	2428	8
2425	2425	2425	2425	10
2425	2425	2425	2425	0
2425	2425	2425	2425	0
2425	2425	2425	2425	0
2425	2425	2425	2425	0
2425	2425	2425	2425	0
2425	2425	2425	2425	0
2427	2430	2426	2430	80
2430	2430	2426	2429	34
2426	2426	2421	2424	54
2427	2429	2426	2427	34
2427	2433	2427	2432	178
2433	2436	2432	2434	204
2434	2434	2431	2431	130
2433	2435	2431	2435	348
2435	2438	2434	2438	542
2438	2440	2436	2438	580
2438	2440	2435	2435	240
2435	2437	2433	2435	144
2437	2437	2435	2435	88
2438	2438	2436	2436	10
2438	2440	2436	2436	18
2435	2442	2435	2436	36
2435	2437	2434	2435	34
2435	2437	2434	2437	102
2438	2439	2436	2439	8
2439	2439	2437	2439	8
2439	2440	2439	2440	42
2440	2440	2437	2439	8
2440	2440	2439	2439	6
2439	2439	2437	2439	4
2439	2440	2437	2440	62
2441	2441	2440	2440	12
2440	2440	2440	2440	16
2440	2440	2435	2437	34
2437	2438	2435	2436	14
2438	2439	2438	2439	6
2438	2440	2436	2440	10
2440	2447	2436	2445	204
2445	2447	2435	2435	276
2435	2436	2430	2432	182
2430	2434	2428	2432	628
2432	2435	2430	2430	108
2428	2428	2424	2428	1360
2427	2431	2427	2430	230
2430	2434	2430	2432	154
2431	2431	2428	2430	42
2432	2432	2428	2432	72
2433	2435	2429	2433	28
2435	2435	2433	2433	96
2433	2435	2432	2434	28
2434	2440	2433	2439	372
2438	2445	2438	2445	380
2439	2439	2433	2436	64
2436	2438	2435	2438	10
2439	2442	2438	2438	32
2442	2444	2440	2442	40
2442	2442	2439	2440	20
2440	2440	2440	2440	0
2440	2445	2440	2445	6
2443	2444	2443	2444	14
2445	2445	2441	2441	10
2441	2441	2441	2441	2
2441	2443	2441	2443	4
2443	2443	2443	2443	4
2443	2443	2443	2443	0
2443	2443	2442	2442	2
2442	2442	2442	2442	0
2442	2442	2442	2442	0
2441	2441	2434	2437	378
2436	2440	2434	2436	60
2436	2438	2434	2434	36
2435	2440	2435	2439	68
2438	2440	2437	2440	38
2440	2445	2438	2445	46
2446	2447	2443	2445	68
2445	2446	2442	2444	86
2444	2447	2444	2444	118
2444	2444	2438	2439	272
