date	open	high	low	close	volume
 2015/08/31-10:25	96.555	96.555	96.53	96.53	9
 2015/08/31-10:30	96.53	96.53	96.53	96.53	0
 2015/08/31-10:35	96.52	96.52	96.52	96.52	8
 2015/08/31-10:40	96.52	96.52	96.52	96.52	0
 2015/08/31-10:45	96.51	96.52	96.51	96.52	13
 2015/08/31-10:50	96.52	96.52	96.52	96.52	5
 2015/08/31-10:55	96.51	96.51	96.51	96.51	2
 2015/08/31-11:00	96.5	96.5	96.5	96.5	2
 2015/08/31-11:05	96.515	96.515	96.515	96.515	6
 2015/08/31-11:10	96.52	96.575	96.51	96.575	35
 2015/08/31-11:15	96.54	96.55	96.54	96.55	10
 2015/08/31-11:20	96.555	96.57	96.555	96.57	14
 2015/08/31-11:25	96.575	96.63	96.57	96.625	37
 2015/08/31-11:30	96.625	96.625	96.625	96.625	0
 2015/08/31-13:05	96.63	96.65	96.63	96.65	7
 2015/08/31-13:10	96.65	96.65	96.63	96.63	6
 2015/08/31-13:15	96.645	96.65	96.64	96.65	6
 2015/08/31-13:20	96.635	96.635	96.63	96.63	7
 2015/08/31-13:25	96.6	96.6	96.545	96.6	16
 2015/08/31-13:30	96.6	96.6	96.6	96.6	6
 2015/08/31-13:35	96.56	96.56	96.56	96.56	1
 2015/08/31-13:40	96.55	96.55	96.55	96.55	2
 2015/08/31-13:45	96.55	96.55	96.55	96.55	0
 2015/08/31-13:50	96.53	96.53	96.53	96.53	1
 2015/08/31-13:55	96.53	96.53	96.53	96.53	1
 2015/08/31-14:00	96.54	96.54	96.54	96.54	4
 2015/08/31-14:05	96.545	96.545	96.54	96.54	2
 2015/08/31-14:10	96.55	96.55	96.55	96.55	11
 2015/08/31-14:15	96.55	96.55	96.55	96.55	0
 2015/08/31-14:20	96.55	96.55	96.55	96.55	0
 2015/08/31-14:25	96.55	96.55	96.55	96.55	0
 2015/08/31-14:30	96.57	96.595	96.57	96.595	21
 2015/08/31-14:35	96.59	96.59	96.585	96.585	6
 2015/08/31-14:40	96.615	96.615	96.615	96.615	2
 2015/08/31-14:45	96.605	96.65	96.6	96.645	32
 2015/08/31-14:50	96.61	96.645	96.61	96.64	7
 2015/08/31-14:55	96.64	96.64	96.64	96.64	0
 2015/08/31-15:00	96.65	96.675	96.65	96.675	17
 2015/08/31-15:05	96.695	96.72	96.695	96.72	15
 2015/08/31-15:10	96.72	96.72	96.72	96.72	0
 2015/08/31-15:15	96.66	96.66	96.66	96.66	1
 2015/09/01-09:20	96.63	96.63	96.63	96.63	0
 2015/09/01-09:25	96.725	96.725	96.725	96.725	1
 2015/09/01-09:30	96.785	96.865	96.785	96.865	80
 2015/09/01-09:35	96.855	96.88	96.84	96.84	33
 2015/09/01-09:40	96.83	96.83	96.83	96.83	2
 2015/09/01-09:45	96.81	96.81	96.805	96.805	4
 2015/09/01-09:50	96.805	96.81	96.805	96.81	9
 2015/09/01-09:55	96.8	96.8	96.8	96.8	1
 2015/09/01-10:00	96.8	96.8	96.8	96.8	14
 2015/09/01-10:05	96.83	96.84	96.83	96.84	4
 2015/09/01-10:10	96.84	96.84	96.84	96.84	3
 2015/09/01-10:15	96.84	96.84	96.84	96.84	0
 2015/09/01-10:20	96.82	96.82	96.815	96.815	6
 2015/09/01-10:25	96.815	96.815	96.815	96.815	0
 2015/09/01-10:30	96.81	96.845	96.81	96.845	17
 2015/09/01-10:35	96.845	96.845	96.845	96.845	0
 2015/09/01-10:40	96.825	96.825	96.81	96.81	7
 2015/09/01-10:45	96.82	96.82	96.77	96.77	3
 2015/09/01-10:50	96.77	96.805	96.75	96.805	46
 2015/09/01-10:55	96.805	96.855	96.805	96.855	14
 2015/09/01-11:00	96.8	96.8	96.76	96.76	8
 2015/09/01-11:05	96.76	96.76	96.76	96.76	0
 2015/09/01-11:10	96.76	96.76	96.76	96.76	0
 2015/09/01-11:15	96.785	96.79	96.785	96.785	20
 2015/09/01-11:20	96.78	96.79	96.78	96.79	48
 2015/09/01-11:25	96.79	96.795	96.79	96.79	24
 2015/09/01-11:30	96.79	96.79	96.775	96.775	24
 2015/09/01-13:05	96.77	96.77	96.74	96.74	30
 2015/09/01-13:10	96.74	96.74	96.74	96.74	0
 2015/09/01-13:15	96.74	96.74	96.735	96.735	20
 2015/09/01-13:20	96.73	96.735	96.73	96.735	9
 2015/09/01-13:25	96.725	96.725	96.715	96.715	29
 2015/09/01-13:30	96.72	96.765	96.72	96.765	19
 2015/09/01-13:35	96.765	96.765	96.75	96.75	7
 2015/09/01-13:40	96.755	96.755	96.755	96.755	6
 2015/09/01-13:45	96.755	96.755	96.755	96.755	0
 2015/09/01-13:50	96.785	96.8	96.785	96.795	33
 2015/09/01-13:55	96.795	96.795	96.78	96.78	30
 2015/09/01-14:00	96.78	96.785	96.775	96.785	20
 2015/09/01-14:05	96.785	96.83	96.785	96.82	44
 2015/09/01-14:10	96.825	96.825	96.82	96.82	3
 2015/09/01-14:15	96.815	96.815	96.815	96.815	5
 2015/09/01-14:20	96.815	96.815	96.81	96.81	32
 2015/09/01-14:25	96.81	96.81	96.81	96.81	0
 2015/09/01-14:30	96.8	96.8	96.795	96.795	15
 2015/09/01-14:35	96.79	96.8	96.79	96.8	11
 2015/09/01-14:40	96.8	96.8	96.8	96.8	0
 2015/09/01-14:45	96.8	96.8	96.8	96.8	0
 2015/09/01-14:50	96.8	96.8	96.8	96.8	0
 2015/09/01-14:55	96.8	96.8	96.8	96.8	0
 2015/09/01-15:00	96.8	96.8	96.8	96.8	0
 2015/09/01-15:05	96.8	96.8	96.8	96.8	0
 2015/09/01-15:10	96.8	96.8	96.8	96.8	0
 2015/09/01-15:15	96.84	96.84	96.84	96.84	2
 2015/09/02-09:20	96.885	96.885	96.885	96.885	1
 2015/09/02-09:25	96.895	96.935	96.895	96.935	13
 2015/09/02-09:30	96.94	96.94	96.925	96.93	4
 2015/09/02-09:35	96.91	96.94	96.91	96.94	22
 2015/09/02-09:40	96.88	96.88	96.81	96.81	7
 2015/09/02-09:45	96.745	96.745	96.69	96.69	12
 2015/09/02-09:50	96.69	96.69	96.69	96.69	0
 2015/09/02-09:55	96.69	96.69	96.69	96.69	0
 2015/09/02-10:00	96.72	96.72	96.72	96.72	1
 2015/09/02-10:05	96.72	96.74	96.72	96.74	3
 2015/09/02-10:10	96.73	96.735	96.72	96.72	6
 2015/09/02-10:15	96.685	96.7	96.685	96.7	2
 2015/09/02-10:20	96.71	96.735	96.71	96.735	2
 2015/09/02-10:25	96.72	96.72	96.72	96.72	2
 2015/09/02-10:30	96.685	96.685	96.66	96.66	3
 2015/09/02-10:35	96.7	96.7	96.7	96.7	1
 2015/09/02-10:40	96.74	96.74	96.74	96.74	1
 2015/09/02-10:45	96.74	96.74	96.74	96.74	0
 2015/09/02-10:50	96.695	96.695	96.695	96.695	1
 2015/09/02-10:55	96.695	96.695	96.695	96.695	2
 2015/09/02-11:00	96.695	96.695	96.695	96.695	0
 2015/09/02-11:05	96.72	96.72	96.675	96.675	8
 2015/09/02-11:10	96.67	96.67	96.67	96.67	3
 2015/09/02-11:15	96.675	96.675	96.675	96.675	2
 2015/09/02-11:20	96.675	96.675	96.675	96.675	0
 2015/09/02-11:25	96.675	96.675	96.675	96.675	0
 2015/09/02-11:30	96.695	96.695	96.695	96.695	9
 2015/09/02-13:05	96.695	96.695	96.695	96.695	0
 2015/09/02-13:10	96.695	96.695	96.695	96.695	0
 2015/09/02-13:15	96.695	96.695	96.695	96.695	0
 2015/09/02-13:20	96.695	96.695	96.695	96.695	0
 2015/09/02-13:25	96.74	96.74	96.74	96.74	1
 2015/09/02-13:30	96.74	96.74	96.74	96.74	0
 2015/09/02-13:35	96.74	96.74	96.74	96.74	0
 2015/09/02-13:40	96.74	96.74	96.74	96.74	0
 2015/09/02-13:45	96.71	96.71	96.71	96.71	4
 2015/09/02-13:50	96.71	96.71	96.71	96.71	0
 2015/09/02-13:55	96.71	96.71	96.71	96.71	0
 2015/09/02-14:00	96.71	96.71	96.71	96.71	0
 2015/09/02-14:05	96.71	96.71	96.71	96.71	0
 2015/09/02-14:10	96.71	96.71	96.71	96.71	0
 2015/09/02-14:15	96.71	96.71	96.71	96.71	0
 2015/09/02-14:20	96.71	96.71	96.71	96.71	0
 2015/09/02-14:25	96.715	96.715	96.715	96.715	5
 2015/09/02-14:30	96.715	96.715	96.71	96.71	4
 2015/09/02-14:35	96.695	96.695	96.68	96.68	5
 2015/09/02-14:40	96.68	96.68	96.68	96.68	0
 2015/09/02-14:45	96.675	96.675	96.675	96.675	1
 2015/09/02-14:50	96.67	96.67	96.64	96.64	13
 2015/09/02-14:55	96.61	96.61	96.61	96.61	2
 2015/09/02-15:00	96.635	96.635	96.635	96.635	2
 2015/09/02-15:05	96.635	96.635	96.635	96.635	0
 2015/09/02-15:10	96.635	96.635	96.635	96.635	0
 2015/09/02-15:15	96.635	96.635	96.635	96.635	0
 2015/09/07-09:20	96.475	96.49	96.475	96.49	13
 2015/09/07-09:25	96.505	96.505	96.5	96.5	12
 2015/09/07-09:30	96.5	96.5	96.495	96.495	8
 2015/09/07-09:35	96.47	96.47	96.47	96.47	1
 2015/09/07-09:40	96.49	96.52	96.49	96.52	2
 2015/09/07-09:45	96.52	96.52	96.515	96.515	2
 2015/09/07-09:50	96.5	96.5	96.5	96.5	1
 2015/09/07-09:55	96.52	96.52	96.52	96.52	5
 2015/09/07-10:00	96.515	96.52	96.51	96.51	21
 2015/09/07-10:05	96.51	96.51	96.51	96.51	10
 2015/09/07-10:10	96.51	96.51	96.51	96.51	4
 2015/09/07-10:15	96.53	96.545	96.515	96.515	14
 2015/09/07-10:20	96.515	96.515	96.515	96.515	0
 2015/09/07-10:25	96.515	96.515	96.515	96.515	0
 2015/09/07-10:30	96.515	96.515	96.515	96.515	0
 2015/09/07-10:35	96.52	96.52	96.52	96.52	5
 2015/09/07-10:40	96.52	96.52	96.52	96.52	12
 2015/09/07-10:45	96.535	96.535	96.525	96.525	4
 2015/09/07-10:50	96.525	96.525	96.525	96.525	0
 2015/09/07-10:55	96.525	96.525	96.525	96.525	0
 2015/09/07-11:00	96.525	96.525	96.525	96.525	0
 2015/09/07-11:05	96.55	96.55	96.55	96.55	2
 2015/09/07-11:10	96.56	96.56	96.56	96.56	1
 2015/09/07-11:15	96.535	96.535	96.53	96.53	15
 2015/09/07-11:20	96.53	96.53	96.53	96.53	0
 2015/09/07-11:25	96.53	96.53	96.53	96.53	0
 2015/09/07-11:30	96.53	96.53	96.53	96.53	0
 2015/09/07-13:05	96.54	96.54	96.54	96.54	10
 2015/09/07-13:10	96.535	96.54	96.535	96.54	6
 2015/09/07-13:15	96.535	96.535	96.535	96.535	3
 2015/09/07-13:20	96.535	96.55	96.535	96.55	4
 2015/09/07-13:25	96.565	96.57	96.565	96.57	13
 2015/09/07-13:30	96.565	96.565	96.565	96.565	8
 2015/09/07-13:35	96.565	96.565	96.565	96.565	5
 2015/09/07-13:40	96.565	96.57	96.565	96.57	5
 2015/09/07-13:45	96.57	96.57	96.57	96.57	0
 2015/09/07-13:50	96.56	96.56	96.535	96.535	11
