date	open	high	low	close	volume
 2015/10/08-09:35	99	99	98.98	98.985	21
 2015/10/08-09:40	98.99	99.005	98.97	98.985	32
 2015/10/08-09:45	99.04	99.04	99.005	99.03	9
 2015/10/08-09:50	99	99.005	98.985	98.99	38
 2015/10/08-09:55	98.99	99.015	98.985	98.99	9
 2015/10/08-10:00	99.01	99.01	98.985	99.01	5
 2015/10/08-10:05	98.99	99	98.98	98.98	34
 2015/10/08-10:10	98.98	98.995	98.98	98.98	15
 2015/10/08-10:15	98.98	99.03	98.98	99.015	13
 2015/10/08-10:20	99	99	99	99	4
 2015/10/08-10:25	99	99	98.985	99	5
 2015/10/08-10:30	99	99.005	99	99.005	11
 2015/10/08-10:35	99	99	98.98	99	46
 2015/10/08-10:40	99	99.005	99	99.005	16
 2015/10/08-10:45	98.99	99	98.985	98.99	44
 2015/10/08-10:50	99	99.005	98.985	99	86
 2015/10/08-10:55	99	99.005	98.985	99.005	87
 2015/10/08-11:00	99.005	99.005	98.985	99.005	35
 2015/10/08-11:05	99.01	99.01	99.01	99.01	6
 2015/10/08-11:10	99.05	99.05	99.04	99.04	21
 2015/10/08-11:15	99.04	99.04	99.04	99.04	0
 2015/10/08-11:20	99.045	99.045	99.045	99.045	11
 2015/10/08-11:25	99.045	99.045	99.045	99.045	0
 2015/10/08-11:30	99.045	99.06	99.045	99.055	12
 2015/10/08-13:05	99.1	99.1	99.1	99.1	5
 2015/10/08-13:10	99.095	99.095	99.085	99.085	11
 2015/10/08-13:15	99.085	99.095	99.08	99.08	51
 2015/10/08-13:20	99.08	99.105	99.08	99.08	31
 2015/10/08-13:25	99.12	99.12	99.07	99.07	32
 2015/10/08-13:30	99.07	99.1	99.07	99.07	46
 2015/10/08-13:35	99.07	99.08	99.06	99.075	48
 2015/10/08-13:40	99.1	99.105	99.08	99.1	69
 2015/10/08-13:45	99.1	99.1	99.1	99.1	0
 2015/10/08-13:50	99.115	99.14	99.1	99.1	29
 2015/10/08-13:55	99.14	99.145	99.1	99.145	30
 2015/10/08-14:00	99.14	99.14	99.14	99.14	3
 2015/10/08-14:05	99.14	99.14	99.14	99.14	0
 2015/10/08-14:10	99.145	99.145	99.1	99.1	13
 2015/10/08-14:15	99.08	99.08	99.08	99.08	14
 2015/10/08-14:20	99.08	99.08	99.08	99.08	0
 2015/10/08-14:25	99.095	99.095	99.095	99.095	1
 2015/10/08-14:30	99.1	99.1	99.09	99.09	2
 2015/10/08-14:35	99.09	99.11	99.09	99.11	14
 2015/10/08-14:40	99.1	99.115	99.08	99.08	12
 2015/10/08-14:45	99.08	99.08	99.08	99.08	11
 2015/10/08-14:50	99.085	99.1	99.085	99.1	2
 2015/10/08-14:55	99.085	99.085	99.085	99.085	1
 2015/10/08-15:00	99.085	99.085	99.085	99.085	0
 2015/10/08-15:05	99.095	99.13	99.095	99.13	12
 2015/10/08-15:10	99.135	99.15	99.135	99.135	27
 2015/10/08-15:15	99.135	99.155	99.135	99.155	29
 2015/10/09-09:20	99.13	99.24	99.13	99.215	17
 2015/10/09-09:25	99.235	99.3	99.235	99.3	57
 2015/10/09-09:30	99.315	99.35	99.3	99.335	83
 2015/10/09-09:35	99.335	99.39	99.335	99.345	64
 2015/10/09-09:40	99.32	99.34	99.32	99.34	9
 2015/10/09-09:45	99.34	99.39	99.34	99.365	26
 2015/10/09-09:50	99.385	99.455	99.385	99.455	38
 2015/10/09-09:55	99.435	99.435	99.415	99.43	3
 2015/10/09-10:00	99.44	99.44	99.39	99.4	13
 2015/10/09-10:05	99.425	99.45	99.425	99.44	18
 2015/10/09-10:10	99.44	99.505	99.435	99.485	70
 2015/10/09-10:15	99.49	99.64	99.49	99.63	68
 2015/10/09-10:20	99.62	99.68	99.62	99.655	28
 2015/10/09-10:25	99.675	99.7	99.6	99.645	30
 2015/10/09-10:30	99.645	99.645	99.635	99.635	11
 2015/10/09-10:35	99.65	99.65	99.6	99.63	45
 2015/10/09-10:40	99.635	99.65	99.6	99.615	37
 2015/10/09-10:45	99.63	99.65	99.6	99.615	56
 2015/10/09-10:50	99.645	99.66	99.6	99.65	44
 2015/10/09-10:55	99.66	99.68	99.66	99.665	6
 2015/10/09-11:00	99.68	99.68	99.68	99.68	4
 2015/10/09-11:05	99.675	99.68	99.65	99.65	8
 2015/10/09-11:10	99.65	99.655	99.645	99.645	22
 2015/10/09-11:15	99.66	99.675	99.65	99.675	35
 2015/10/09-11:20	99.65	99.67	99.645	99.645	78
 2015/10/09-11:25	99.665	99.67	99.645	99.665	23
 2015/10/09-11:30	99.65	99.72	99.65	99.72	24
 2015/10/09-13:05	99.69	99.71	99.69	99.71	3
 2015/10/09-13:10	99.675	99.73	99.675	99.7	84
 2015/10/09-13:15	99.73	99.755	99.7	99.715	66
 2015/10/09-13:20	99.715	99.735	99.71	99.725	21
 2015/10/09-13:25	99.71	99.72	99.695	99.705	62
 2015/10/09-13:30	99.705	99.705	99.685	99.685	14
 2015/10/09-13:35	99.705	99.705	99.65	99.65	16
 2015/10/09-13:40	99.65	99.65	99.645	99.645	68
 2015/10/09-13:45	99.665	99.7	99.65	99.7	34
 2015/10/09-13:50	99.7	99.71	99.7	99.71	21
 2015/10/09-13:55	99.69	99.69	99.67	99.67	2
 2015/10/09-14:00	99.645	99.645	99.61	99.61	5
 2015/10/09-14:05	99.62	99.65	99.62	99.65	4
 2015/10/09-14:10	99.645	99.67	99.645	99.67	3
 2015/10/09-14:15	99.7	99.7	99.685	99.685	13
 2015/10/09-14:20	99.67	99.67	99.65	99.665	8
 2015/10/09-14:25	99.7	99.7	99.68	99.68	16
 2015/10/09-14:30	99.68	99.71	99.68	99.695	18
 2015/10/09-14:35	99.71	99.71	99.71	99.71	17
 2015/10/09-14:40	99.7	99.71	99.695	99.71	5
 2015/10/09-14:45	99.705	99.735	99.705	99.735	25
 2015/10/09-14:50	99.745	99.76	99.7	99.755	47
