	open	ma5	close	volume	ochl_1	ochl_2	ochl_3	ochl_4	ochl_5
6	3286.095	3250.0512	3281.666	5210728960.0	3324.423	3311.236	3335.081	3250.573	3259.764
7	3252.153	3243.9736	3292.128	6758661632.0	3281.666	3324.423	3311.236	3335.081	3250.573
8	3177.082	3229.6276	3244.483	4998943744.0	3292.128	3281.666	3324.423	3311.236	3335.081
9	3225.393	3223.557	3198.634	4274289920.0	3244.483	3292.128	3281.666	3324.423	3311.236
10	3248.947	3217.6682	3233.345	3828377088.0	3198.634	3244.483	3292.128	3281.666	3324.423
11	3232.879	3201.1968	3251.278	3405823744.0	3233.345	3198.634	3244.483	3292.128	3281.666
12	3216.688	3181.5586	3220.398	3579105280.0	3251.278	3233.345	3198.634	3244.483	3292.128
13	3195.142	3181.2394	3214.13	3421989376.0	3220.398	3251.278	3233.345	3198.634	3244.483
14	3147.761	3184.5564	3169.19	3595315712.0	3214.13	3220.398	3251.278	3233.345	3198.634
15	3152.253	3179.9562	3150.988	3735595008.0	3169.19	3214.13	3220.398	3251.278	3233.345
16	3147.721	3180.3	3153.087	5910584320.0	3150.988	3169.19	3214.13	3220.398	3251.278
17	3206.431	3190.5136	3218.802	5897272832.0	3153.087	3150.988	3169.19	3214.13	3220.398
18	3160.712	3188.0672	3230.715	6479889408.0	3218.802	3153.087	3150.988	3169.19	3214.13
19	3170.778	3181.6374	3146.189	5013003264.0	3230.715	3218.802	3153.087	3150.988	3169.19
20	3198.23	3200.959	3152.707	5700137984.0	3146.189	3230.715	3218.802	3153.087	3150.988
21	3190.315	3236.016	3204.155	5026261504.0	3152.707	3146.189	3230.715	3218.802	3153.087
22	3195.289	3268.4244	3206.57	4699071488.0	3204.155	3152.707	3146.189	3230.715	3218.802
23	3243.038	3308.8252	3198.566	5269139456.0	3206.57	3204.155	3152.707	3146.189	3230.715
24	3328.113	3347.9988	3242.797	6175223296.0	3198.566	3206.57	3204.155	3152.707	3146.189
25	3340.013	3400.9358	3327.992	5684917248.0	3242.797	3198.566	3206.57	3204.155	3152.707
26	3364.452	3435.4742	3366.197	8893340672.0	3327.992	3242.797	3198.566	3206.57	3204.155
27	3397.043	3458.7824	3408.574	7059506688.0	3366.197	3327.992	3242.797	3198.566	3206.57
28	3512.246	3470.8778	3394.434	9249514496.0	3408.574	3366.197	3327.992	3242.797	3198.566
29	3506.806	3476.2198	3507.482	7488323072.0	3394.434	3408.574	3366.197	3327.992	3242.797
30	3471.777	3481.7066	3500.684	8285430784.0	3507.482	3394.434	3408.574	3366.197	3327.992
31	3472.524	3477.9802	3482.738	7254310400.0	3500.684	3507.482	3394.434	3408.574	3366.197
32	3433.472	3477.4586	3469.051	8335325184.0	3482.738	3500.684	3507.482	3394.434	3408.574
33	3448.291	3477.9396	3421.144	11245790208.0	3469.051	3482.738	3500.684	3507.482	3394.434
34	3477.842	3502.0562	3534.916	9374327800.0	3421.144	3469.051	3482.738	3500.684	3507.482
35	3593.106	3507.8806	3482.052	8998017024.0	3534.916	3421.144	3469.051	3482.738	3500.684
36	3456.908	3518.516	3480.13	6079025152.0	3482.052	3534.916	3421.144	3469.051	3482.738
37	3543.16	3477.9396	3471.456	8035003904.0	3480.13	3482.052	3534.916	3421.144	3469.051
38	3558.7	3502.0562	3541.727	7847312500.0	3471.456	3480.13	3482.052	3534.916	3421.144
39	3545.186	3507.8806	3564.038	8580964352.0	3541.727	3471.456	3480.13	3482.052	3534.916
40	3592.468	3518.516	3535.229	6610107904.0	3564.038	3541.727	3471.456	3480.13	3482.052
41	3561.367	3507.6988	3575.684	6924189184.0	3535.229	3564.038	3541.727	3471.456	3480.13
42	3503.816	3480.3254	3558.857	8842937344.0	3575.684	3535.229	3564.038	3541.727	3471.456
43	3481.903	3435.85	3500.737	5553576448.0	3558.857	3575.684	3535.229	3564.038	3541.727
44	3432.82	3396.8112	3478.433	5537539072.0	3500.737	3558.857	3575.684	3535.229	3564.038
45	3434.326	3380.449	3424.783	4691457536.0	3478.433	3500.737	3558.857	3575.684	3535.229
46	3346.763	3373.8394	3438.817	6437782528.0	3424.783	3478.433	3500.737	3558.857	3575.684
47	3303.729	3382.1066	3336.48	4806450176.0	3438.817	3424.783	3478.433	3500.737	3558.857
48	3402.228	3426.9552	3305.543	5394268672.0	3336.48	3438.817	3424.783	3478.433	3500.737
49	3386.326	3482.5148	3396.622	4832980480.0	3305.543	3336.48	3438.817	3424.783	3478.433
50	3450.045	3525.741	3391.735	6611101696.0	3396.622	3305.543	3336.48	3438.817	3424.783
